baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000938	16089.8006934803	-2.79014824545054	0.349126113292687	-7.99180622479375	1.32975935853727e-15	2.94378870239451e-14
ENSG00000000971	12.6410109462732	-4.758599502714	0.871023968077715	-5.46322452321935	4.67562612718899e-08	3.39398440248817e-07
ENSG00000001084	5530.13565307237	-2.0451331354561	0.161821346494613	-12.6382160311846	1.29969398759234e-36	2.42802357076419e-34
ENSG00000002586	8812.42694302702	-1.06416190863727	0.215630732819349	-4.93511242448356	8.01046038615135e-07	4.58238465596713e-06
ENSG00000002587	1376.98320661772	-2.15716118350138	0.493359688206931	-4.3723904385893	1.22893493216945e-05	5.61299860071919e-05
ENSG00000002745	574.640600942699	-1.89325394460298	0.623634082699655	-3.03584104384939	0.00239865783197996	0.00639003919138055
ENSG00000002933	66.1456436636681	-3.36404875063283	0.751896205332937	-4.47408661830291	7.67386315164422e-06	3.66201729062241e-05
ENSG00000003436	4.65116642497879	-2.5361463358491	0.614477662800748	-4.12732063243684	3.67014499416842e-05	0.000151412019298282
ENSG00000004139	4206.25160213949	-1.02680104052425	0.199469453107161	-5.1476605792498	2.63755189631142e-07	1.6622131703842e-06
ENSG00000004399	4191.23634370539	-2.85802881442521	0.371895337937995	-7.68503533889882	1.52954767026248e-14	2.92365962170436e-13
ENSG00000005187	5494.94909762099	-2.44898773071963	0.464081601651254	-5.27706274501265	1.31270949080457e-07	8.79730279004571e-07
ENSG00000005486	4910.98096038208	-1.23157666650388	0.312267020935023	-3.94398570433779	8.01384373994359e-05	0.000306631992836113
ENSG00000005882	3055.3733587789	-1.65667959870193	0.266901316275411	-6.20708665592503	5.39758391041149e-10	5.35623020863933e-09
ENSG00000005884	2239.06529311691	-1.47062986091917	0.344196000224257	-4.27265238399343	1.93161461572759e-05	8.39386661756837e-05
ENSG00000006534	198.580522337986	-2.37234228914544	0.287309927519884	-8.25708429090482	1.49274011878933e-16	3.71707281229665e-15
ENSG00000006638	531.513013289999	-2.95297021430357	0.474947287124207	-6.2174693789362	5.05236714766434e-10	5.03959104683116e-09
ENSG00000006740	8160.7807646941	-3.24273426801436	0.516647548555916	-6.27649212132747	3.46296925051741e-10	3.53965219740754e-09
ENSG00000006756	1002.00434396295	-1.56862327573823	0.378723515538117	-4.1418692301412	3.44486747974849e-05	0.000142694797084761
ENSG00000007171	30.8030552995707	-1.75816767843397	0.445025049512635	-3.95071621329948	7.79176708712297e-05	0.000298859468649959
ENSG00000007350	42.4654955615487	-2.27325990661559	0.582438433509198	-3.90300463676337	9.50058818879978e-05	0.000356369588512663
ENSG00000007402	60.4654072568829	-1.3700961495578	0.278816401523959	-4.91397257144526	8.92492413003636e-07	5.06543437543855e-06
ENSG00000007516	12941.7942712392	-1.79521339583055	0.546734514260141	-3.28351942123116	0.00102519580620988	0.0030066404887764
ENSG00000007952	72.373451971064	-2.66259276026694	0.384006939230576	-6.93371001472501	4.09944567756472e-12	5.56918175211768e-11
ENSG00000008300	2879.12809771356	-2.61434692406861	0.310347188746948	-8.42394266442126	3.64022463206234e-17	9.84108079658474e-16
ENSG00000008438	5.20819072816769	-5.09349341512187	1.17157576396272	-4.34755785481062	1.37661764814557e-05	6.18337885642199e-05
ENSG00000008735	88.2528719373307	-1.7274548346494	0.241615266329312	-7.14960962895014	8.70250240512271e-13	1.29871566417291e-11
ENSG00000010327	202.21223207829	-2.90414056750094	0.630943964732196	-4.60285022099166	4.16747944938264e-06	2.10938388228303e-05
ENSG00000010818	21551.4136970755	-1.14514519516056	0.147679197143789	-7.7542756008186	8.88491823328079e-15	1.75434176173858e-13
ENSG00000010932	189.953092904983	-2.41975676814585	0.508381347098526	-4.75972767678452	1.93854338334876e-06	1.04068539936285e-05
