baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000938	12721.0287463629	-5.91595236630274	0.876877663124784	-6.74661086156653	1.51338444002812e-11	1.09597068710098e-10
ENSG00000001084	4451.90941614276	-2.66965445940031	0.565612918309085	-4.719931905695	2.3592360701496e-06	8.76821715508065e-06
ENSG00000001617	34.7956881674997	-7.31899414951344	1.29305092896133	-5.66025203306769	1.51150845353311e-08	7.58584094004968e-08
ENSG00000001631	5189.04753546913	-1.2495002831281	0.377368279456962	-3.31108985876116	0.000929333608679974	0.00223697063617266
ENSG00000002745	451.289393769431	-7.22284414095912	0.943557588086214	-7.65490546857767	1.93454494094556e-14	1.95515230177669e-13
ENSG00000002822	4750.12577937561	-2.17922273516693	0.51386382712449	-4.24085646845694	2.22668498024329e-05	7.07378780029132e-05
ENSG00000002834	15731.6036876344	-1.22786472943256	0.374104085658333	-3.28214733948125	0.00103019759848726	0.00245942564931479
ENSG00000002919	3295.38645557733	-4.21266011893405	0.70389592971793	-5.98477692664337	2.16686627859225e-09	1.21052059916857e-08
ENSG00000003249	1239.30595467664	-8.15558219638713	1.32441226026361	-6.15788787304328	7.37215195433746e-10	4.34558122879061e-09
ENSG00000003402	27876.3261969975	-1.67277233023388	0.272779222503436	-6.13233044248013	8.66009886104621e-10	5.07114249533108e-09
ENSG00000004139	3392.94919857008	-7.21460868775648	0.509297089101405	-14.1658156744736	1.49125279152398e-45	2.39850258507209e-43
ENSG00000004660	742.003857235043	-3.79760423202619	0.764150244806679	-4.96970884696495	6.70535121645151e-07	2.68659481241834e-06
ENSG00000004776	6.69366253612671	-16.1087846677723	1.61796510210915	-9.95620032024994	2.36946051356497e-23	6.15622294662849e-22
ENSG00000004777	2481.69068728345	-3.08015664629458	0.883169569718678	-3.48761636712157	0.000487346796822918	0.00124535781538141
ENSG00000004799	397.281501817501	-9.11148859367549	1.50537653778978	-6.05263092983575	1.42499093074058e-09	8.10550583979353e-09
ENSG00000004961	1299.93501015717	-1.80247616675416	0.559073836947622	-3.22403955905922	0.00126395937745302	0.00296345216804479
ENSG00000004975	4439.98682255582	-2.13242882743865	0.49510126811031	-4.30705587884606	1.65441827040032e-05	5.36375806306789e-05
ENSG00000005007	11691.4689307697	-6.09038956293142	0.549694251468186	-11.0795947868556	1.57584126873841e-28	6.75451963107978e-27
ENSG00000005206	9027.63439444311	-3.65621574940388	0.505925404359506	-7.22678821403047	4.94550422557029e-13	4.25252929538855e-12
ENSG00000005243	67.518903222398	-7.74365818555435	1.09308111142368	-7.08424846484508	1.39800885967443e-12	1.13781077697261e-11
ENSG00000005339	30742.7012094319	-2.37369028337458	0.378852864002963	-6.26546743845129	3.71708671443011e-10	2.27525046876751e-09
ENSG00000005379	4595.49383094514	-4.68792279501051	0.885408612708605	-5.29464331803754	1.19248935083544e-07	5.28160507655623e-07
ENSG00000005469	726.136650646483	-2.08670774127668	0.510018189214491	-4.09143788477533	4.28706779573585e-05	0.00013040345989623
ENSG00000005471	4938.32880612459	-5.92652842478395	0.656464286687166	-9.02795254055946	1.74913659193571e-19	3.15929612455725e-18
ENSG00000005810	58154.2840191473	-2.12329298978521	0.363909696793116	-5.83466999779428	5.38971319892578e-09	2.8740598832794e-08
ENSG00000005844	18306.6791282131	-1.62802102759725	0.501584270828313	-3.24575773659876	0.0011713847707389	0.00276444186811606
ENSG00000005884	1783.4702999644	-12.3503156793083	1.1235508134901	-10.9922181809867	4.16560640372553e-28	1.71164868482036e-26
ENSG00000006047	35.9041117357833	-13.8351756490653	1.80224400974375	-7.67663844311093	1.63317537748403e-14	1.66150998644279e-13
ENSG00000006062	10295.5646337124	-3.06073672877184	0.509028896035937	-6.01289387028386	1.82240354191264e-09	1.02760437448483e-08
ENSG00000006116	7.94451974079946	-5.71663626882865	1.63913321053958	-3.48759712271757	0.000487381871655059	0.00124535781538141
ENSG00000006118	84.8031014196652	-8.98009809785581	1.37154680915071	-6.54742371018055	5.85381068922492e-11	3.95753222256327e-10
