baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	16.6776046078558	-4.6902076034804	1.37878578512702	-3.40169419649791	0.000669695292745334	0.0014815056463038
ENSG00000000938	12721.0287463629	-6.22290555994831	0.774519830606974	-8.03453354457246	9.39355783063818e-16	8.21109754885184e-15
ENSG00000001084	4451.90941614276	-1.6292858050924	0.499241281725154	-3.26352380048045	0.00110035941573405	0.00234750755595208
ENSG00000001617	34.7956881674997	-5.76660599291396	1.19517676099168	-4.82489802439699	1.40074918111176e-06	4.59604666225285e-06
ENSG00000001631	5189.04753546913	-1.91928254089528	0.332802741734675	-5.76702743159916	8.06819239921518e-09	3.52902442988723e-08
ENSG00000002587	1094.11915045718	-3.60607881471588	0.788539406463054	-4.57311173691462	4.80533707817907e-06	1.47015457565739e-05
ENSG00000002745	451.289393769431	-5.54298433860958	0.851365859396927	-6.51069605085645	7.48033684188235e-11	4.02062153359991e-10
ENSG00000002822	4750.12577937561	-2.62455169976332	0.45329137568419	-5.78998816335711	7.03913847145664e-09	3.09656083631049e-08
ENSG00000002919	3295.38645557733	-3.48167525520333	0.621115054406848	-5.60552385665206	2.07626020426075e-08	8.64068071206396e-08
ENSG00000003249	1239.30595467664	-12.2398452583789	1.23841330305937	-9.88348980759628	4.90927967587182e-23	8.00269451410457e-22
ENSG00000004139	3392.94919857008	-6.476392227933	0.455036423524601	-14.232689721338	5.74296756301523e-46	5.44872113506748e-44
ENSG00000004660	742.003857235043	-3.25971834290904	0.674890173116419	-4.82999823194452	1.36534262872152e-06	4.49471857969765e-06
ENSG00000004776	6.69366253612671	-15.1011555087642	1.49505185425896	-10.1007570177218	5.48173774183561e-24	9.79635841101797e-23
ENSG00000004777	2481.69068728345	-2.76269440487608	0.780222550526065	-3.54090560829514	0.000398756206834812	0.000914599323784641
ENSG00000004799	397.281501817501	-10.9558820212517	1.39430649572979	-7.85758515420051	3.91609773127785e-15	3.22767488949831e-14
ENSG00000004961	1299.93501015717	-1.7977298996623	0.493303107582759	-3.64427037257354	0.000268151419406032	0.000632742932922882
ENSG00000004975	4439.98682255582	-2.106342566486	0.436765566991082	-4.82259300108474	1.41703923188525e-06	4.64686629364233e-06
ENSG00000005007	11691.4689307697	-5.74464330795377	0.485589427063128	-11.8302479168414	2.72336238125143e-32	9.74409828274876e-31
ENSG00000005206	9027.63439444311	-4.43989637036294	0.446440303198891	-9.94510652051266	2.64890481165167e-23	4.41170655415911e-22
ENSG00000005243	67.518903222398	-6.59635869863631	1.05656741639368	-6.24319716497718	4.28715925310402e-10	2.1407908180491e-09
ENSG00000005339	30742.7012094319	-2.33156737758779	0.334151075982342	-6.97758452739801	3.00298149199224e-12	1.85021347817457e-11
ENSG00000005469	726.136650646483	-2.41934014869709	0.450559311870978	-5.36963743719026	7.8895092373471e-08	3.0482276824598e-07
ENSG00000005471	4938.32880612459	-8.55634410144092	0.582528589174837	-14.6882818464947	7.66323189544581e-49	8.57063975167476e-47
ENSG00000005810	58154.2840191473	-2.89111345926719	0.32094579031066	-9.00810525188296	2.09647107458958e-19	2.54165136451319e-18
ENSG00000005844	18306.6791282131	-1.5005570040571	0.442383474919293	-3.39198249738161	0.000693888725352639	0.00153141568135852
ENSG00000005884	1783.4702999644	-9.41429086582047	1.08083662365787	-8.71018862588106	3.03369548284159e-18	3.32035316359227e-17
ENSG00000005889	11523.478790285	-1.02663450446205	0.338275342968153	-3.03490788141395	0.0024060916468395	0.00484315562953819
ENSG00000006047	35.9041117357833	-13.6455871130038	1.58141312530861	-8.6287301493978	6.20368639712995e-18	6.62249405023581e-17
ENSG00000006062	10295.5646337124	-2.75717255459247	0.449030636476612	-6.14027714506754	8.2377629603278e-10	3.99998104870661e-09
ENSG00000006116	7.94451974079946	-6.0075781208551	1.50022784589968	-4.00444381650068	6.21635624920525e-05	0.000161634833466633
ENSG00000006118	84.8031014196652	-8.48100083292658	1.28337604055203	-6.60835216253418	3.88621352699167e-11	2.16031514298339e-10
ENSG00000006327	43.9311995115232	-2.99682716725493	0.915095337413909	-3.27487972534542	0.00105706968166943	0.00226172466540395
ENSG00000006432	5862.97918046833	-5.25579463637674	0.773895594485499	-6.79134843747352	1.11090252637565e-11	6.47598269431547e-11
ENSG00000006459	15166.2124690867	-6.2004873916533	0.5844710668743	-10.6087157142148	2.71454539180186e-26	5.83990351296177e-25
ENSG00000006607	10561.0456069354	-4.01802690975574	0.474198032945295	-8.47330994774343	2.38516838558698e-17	2.41201938298161e-16
ENSG00000006638	431.558430316442	-3.05438101720035	0.65129871813219	-4.6896776120791	2.73635828152166e-06	8.63445789580302e-06
ENSG00000006712	5644.33781733325	-1.93387867859568	0.47763074536344	-4.04889906558286	5.14591303012293e-05	0.000135301540172374
ENSG00000006715	7154.45641359941	-2.05067282612668	0.37255225881534	-5.50438972681984	3.70449246699237e-08	1.49240144996582e-07
ENSG00000006744	6681.18582568873	-2.12533950589791	0.464883684267376	-4.57176618114118	4.83630428599523e-06	1.47936074591356e-05
ENSG00000006831	3903.65518140048	-2.0977326637465	0.355652656317347	-5.8982623255728	3.67349624784656e-09	1.66634447041721e-08
ENSG00000007168	15353.8888089335	-1.57910731529285	0.326642636641561	-4.8343576072271	1.33576276225877e-06	4.40420959176613e-06
ENSG00000007202	22282.9781923248	-3.48995784710638	0.27361537107382	-12.7549773004705	2.92459958556555e-37	1.45266581767738e-35
ENSG00000007312	43510.0081331606	-1.49179359962602	0.517737916448054	-2.88136826033621	0.00395952718768641	0.00766137662072044
ENSG00000007314	614.253293266257	-6.07949502173162	0.729246751256571	-8.33667755290783	7.64070506022556e-17	7.38193518633233e-16
ENSG00000007392	10474.8640362847	-2.0976405122806	0.407713140057968	-5.14489307845795	2.67673221330263e-07	9.65086541807318e-07
ENSG00000007516	10336.669576495	-4.71726910883292	0.787893929981109	-5.98718803297041	2.13499913504127e-09	9.9081795527829e-09
ENSG00000007520	1947.55079214065	-4.36715122973911	0.570049992901974	-7.66099690223149	1.84495309100445e-14	1.4227199909079e-13
ENSG00000007541	2773.74308566911	-2.91638791900955	0.637071852320116	-4.57780061760463	4.6989023680256e-06	1.43863421303873e-05
ENSG00000007545	7119.55538406507	-3.23479761691373	0.510542751856606	-6.33599753429126	2.35810558623087e-10	1.20677839818991e-09
ENSG00000007944	7452.39587581827	-2.45412988232245	0.438392336458299	-5.59802185902466	2.16811420709266e-08	8.99192355829588e-08
ENSG00000007952	57.5824233090836	-6.69909710586068	1.19467141041344	-5.60748089178957	2.05292669589304e-08	8.54568056205119e-08
ENSG00000007968	2428.02161060607	-1.97606497469751	0.669024868645511	-2.95364950887131	0.00314040448533765	0.00618851768335683
ENSG00000008083	8240.52805938314	-1.42538102624511	0.36920748997191	-3.8606503523359	0.000113085629612525	0.000281887839541894
ENSG00000008130	8672.10330522361	-3.84207775247127	0.661131683557924	-5.81136534221877	6.19653658402974e-09	2.7416062308382e-08
ENSG00000008256	612.85464576988	-6.65743354591314	0.656056774144899	-10.1476485089121	3.39443667155623e-24	6.18395323724289e-23
ENSG00000008300	2291.54344886563	-3.78996631393708	0.648513206024455	-5.84408502206224	5.09360094591188e-09	2.27327517903171e-08
ENSG00000008710	7301.29737248362	-5.78487898667118	0.400309118693755	-14.4510297580724	2.46965704134555e-47	2.48259334013356e-45
ENSG00000008838	6559.40313669235	-1.88161018431681	0.565627618589492	-3.32658824017291	0.000879161792986381	0.00190769518925962
ENSG00000008853	12103.7395195382	-5.21340647934461	0.665550250155229	-7.83322743568748	4.75503020341266e-15	3.89064680597059e-14
ENSG00000008869	12081.0771027667	-3.1160000926037	0.430532595088781	-7.23754746597325	4.56870876300841e-13	3.06176006308278e-12
ENSG00000009335	8022.35548160923	-2.89375363718263	0.392985352107957	-7.36351525994712	1.79129309130585e-13	1.24799330552695e-12
