baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000419	3699.17587665749	-2.70582886270105	0.396623366276615	-6.82216201254754	8.96804423140294e-12	4.62873872188059e-11
ENSG00000000457	2643.57064361347	-1.33837938952091	0.448221543253297	-2.98597738030759	0.00282673551230313	0.00531254900786026
ENSG00000000971	601.531064207958	-9.32336684299166	1.55798931805349	-5.98423027356824	2.17415546793253e-09	8.78610613602407e-09
ENSG00000001626	7.97156892264673	-24.8780735699269	5.60745160713738	-4.43660958897284	9.13868200067019e-06	2.44780430812558e-05
ENSG00000001630	4471.78388233033	-1.99243261419162	0.423468080828919	-4.70503611580719	2.53821017006951e-06	7.30990677901329e-06
ENSG00000002549	5735.82695477036	-1.53284785943775	0.297209480764108	-5.15746622717717	2.50313980642788e-07	8.109155006897e-07
ENSG00000002586	30738.2392044664	-5.1877513363638	0.404319739248356	-12.8308139147695	1.10200359278148e-37	4.89753596707729e-36
ENSG00000003096	311.202832927963	-7.51922249347917	0.897398534758989	-8.37891104368538	5.34196281397386e-17	4.5243263792573e-16
ENSG00000003147	968.868780212807	-3.5693122708792	0.615147597061366	-5.80236724963283	6.5385156054084e-09	2.51818589610347e-08
ENSG00000003393	2598.92472092533	-2.46051080168672	0.374320846417114	-6.57326682507264	4.92231330064048e-11	2.34824935088182e-10
ENSG00000003400	3287.19091240044	-5.92506970267393	0.57328716613891	-10.3352561380002	4.88106350919132e-25	8.19397619713946e-24
ENSG00000003436	6003.06855504954	-15.6788412363466	0.923521956276557	-16.9772262909269	1.21074468210577e-64	2.46350074595208e-62
ENSG00000003987	17.3815029470716	-6.05237259505143	1.78009464952363	-3.40002853032061	0.000673788223547976	0.00139824717612168
ENSG00000004779	2303.1328876564	-1.8776728857826	0.36996444503594	-5.07527928960902	3.86927247926153e-07	1.22161663170254e-06
ENSG00000004809	269.140057405693	-9.86566550392543	1.83242750541629	-5.38393222911385	7.28759516004563e-08	2.49640785117344e-07
ENSG00000004846	16.443762840169	-7.58505590006887	2.21854755434067	-3.41892869739413	0.000628681983060021	0.00131076312715033
ENSG00000004866	2004.58915162417	-2.94771087520772	0.472481931278219	-6.23878011003128	4.40996379648615e-10	1.9032831227973e-09
ENSG00000004939	142.163017434248	-5.05043947052325	1.60835265725823	-3.1401318906842	0.00168871788176257	0.00329319487150189
ENSG00000005022	54567.3114939478	-3.50035844645565	0.393111539029152	-8.90423734469944	5.37543284487404e-19	5.35893210650725e-18
ENSG00000005075	2751.86656970754	-2.32774480686783	0.321222816281208	-7.24651142100085	4.27643134761313e-13	2.50424371807261e-12
ENSG00000005100	2227.87428636219	-1.10160628377479	0.343345321212431	-3.20844996484812	0.00133452527689034	0.00264930649653281
ENSG00000005108	107.513977230247	-6.81170341722003	2.19952275417421	-3.09690063641893	0.00195555410796208	0.00377433117431585
ENSG00000005187	4751.38509850759	-5.2197963227742	0.670945524092998	-7.77976174717084	7.26612603906536e-15	5.07696882696466e-14
ENSG00000005194	5073.43250036743	-2.94294152761856	0.270033733240867	-10.8984218093726	1.1727368705116e-27	2.46947384902742e-26
ENSG00000005381	15469.1590534346	-16.3329604506502	1.46361131055024	-11.1593565401663	6.44563978654814e-29	1.47899408580469e-27
ENSG00000005436	2451.5281621988	-1.46405287319608	0.310535925500019	-4.71460064029208	2.42185279735475e-06	6.9903008104131e-06
ENSG00000005448	2791.15647764361	-3.00190675864056	0.429940076637228	-6.98215151776485	2.90693360867366e-12	1.57697947705784e-11
ENSG00000005483	44362.4466271636	-1.34251873916292	0.32286397735521	-4.1581558591961	3.20827106285888e-05	8.01130959912901e-05
ENSG00000005486	5059.46733366014	-2.56456647655507	0.575586539506143	-4.45557062323848	8.36703456606752e-06	2.25183234664141e-05
ENSG00000005801	4504.94824382301	-2.26044593897646	0.29735667114679	-7.60179998739828	2.92039862758166e-14	1.91532784553783e-13
ENSG00000005812	10354.9429215545	-1.53979847535785	0.36359365719807	-4.23494317041685	2.28609513111869e-05	5.80303240257515e-05
ENSG00000005893	10831.0849904221	-3.15401554001666	0.286288040819753	-11.0169308189944	3.16673081434557e-28	6.91846701069443e-27
ENSG00000006007	4745.711330699	-2.07499043521912	0.316757380565804	-6.55072482135282	5.72584835558595e-11	2.71166929414289e-10
ENSG00000006016	39.4954583602871	-4.75888332715391	1.04100466994109	-4.57143321693573	4.84399671890911e-06	1.34437825125615e-05
ENSG00000006530	2775.28929558795	-1.88296167448337	0.43345142892659	-4.34411227838465	1.39839984460522e-05	3.64615973069214e-05
ENSG00000006534	169.431546339535	-2.37051862221603	0.717970200742156	-3.30169500038534	0.000961025078766652	0.00194591640848917
ENSG00000006625	3209.66067196935	-3.94758891457132	0.437149597364068	-9.03029292117517	1.71212879124752e-19	1.78815281549711e-18
ENSG00000006652	9802.30859602179	-2.91384488584718	0.505848142871304	-5.76031547592043	8.39568681888911e-09	3.1991506993998e-08
ENSG00000006695	1703.8926433569	-1.41580612087176	0.297152256149065	-4.76458142778335	1.89246083567936e-06	5.52715900470711e-06
ENSG00000006756	1204.11270318631	-3.55467668778462	0.718493509074898	-4.9474026457963	7.52102983065223e-07	2.30475688223652e-06
ENSG00000006757	817.212024250168	-2.56007869654509	0.586021715331983	-4.36857309134832	1.25060962640262e-05	3.28976563406347e-05
ENSG00000006788	5.65806065237209	-2.6193198589534	0.817704694988881	-3.20325892098371	0.00135881753723541	0.00269434197121424
ENSG00000007062	2855.25392812124	-12.0624332688005	0.795959311151824	-15.1545852907294	7.06600209873973e-52	7.36608910145164e-50
ENSG00000007255	2979.52173937668	-3.06767038808721	0.411038855005228	-7.46321266403925	8.44378962254109e-14	5.29712924017362e-13
ENSG00000008018	20182.8313582295	-3.52114352040941	0.307530055212575	-11.4497541320814	2.35813407502937e-30	6.03396488774183e-29
ENSG00000008083	8240.52805938314	-2.28485884736742	0.369329426245296	-6.18650636803009	6.15122008493266e-10	2.61732942288593e-09
