baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000001036	1597.32531925015	-1.61685886859159	0.488790471195606	-3.30787722730493	0.000940060115116249	0.00803342033316551
ENSG00000003400	3287.19091240044	-6.13215411311915	0.684950697853352	-8.95269416081688	3.46909991070549e-19	8.96899989612238e-17
ENSG00000003402	27876.3261969975	-2.08438628799948	0.287374832890945	-7.25319704245111	4.07047240162079e-13	3.85464270218601e-11
ENSG00000005243	67.518903222398	-3.22516303234478	0.625414471581109	-5.15684106923726	2.51150799031575e-07	6.83519030740369e-06
ENSG00000008083	8240.52805938314	-1.51583357608342	0.44150307567636	-3.43334771510084	0.000596176998326938	0.00554998694246178
ENSG00000008086	648.133522733991	-3.48034298379912	0.978759005302751	-3.55587326905113	0.000376725654316008	0.00382073938823109
ENSG00000008226	138.653928443683	-4.17641203481141	0.69472700181382	-6.01158731977809	1.83715510369174e-09	8.67350212432785e-08
ENSG00000008283	616.514715729756	-5.26531700104249	1.24532205617132	-4.22807656457195	2.3569759156745e-05	0.000363890272175414
ENSG00000010379	22.1000801248638	-4.29091391789539	0.680369536123635	-6.30674021994373	2.84973541055047e-10	1.62864878480864e-08
ENSG00000011478	1036.22484021261	-2.3673258592979	0.593036712949772	-3.99187066770755	6.55541236961759e-05	0.000864571309120091
ENSG00000012822	12188.2075739177	-2.39490544730599	0.370490475363358	-6.46414849115133	1.01870801525175e-10	6.30901754844884e-09
ENSG00000013375	3596.15600904428	-3.63103908008134	0.450605009395337	-8.05814184124096	7.7462904827698e-16	1.23697626846426e-13
ENSG00000013392	601.790922360062	-3.90739434562492	0.844862948303147	-4.62488543671216	3.74805503634578e-06	7.39083782469733e-05
ENSG00000015171	5320.68441386026	-3.34308814371782	0.649533016057821	-5.14691025870842	2.64811932524972e-07	7.1648783338318e-06
ENSG00000017483	1183.96311550467	-2.65424132088072	0.774063609657147	-3.4289705494053	0.000605875267603413	0.00560391616054764
ENSG00000019991	485.194692407612	-4.71603314155705	1.35022725270074	-3.49276992604318	0.000478038187286063	0.0046346940443544
ENSG00000021461	4.89431777628346	-6.95479638843354	1.9823953035748	-3.50827929015577	0.000451015293510599	0.00440680090024033
ENSG00000024048	14772.1751785962	-1.68031276451297	0.438430158001466	-3.83256656470095	0.000126813270606983	0.00151705464431614
ENSG00000025796	8512.3774140252	-1.45854921483992	0.358897076825797	-4.06397630133911	4.82437263212931e-05	0.000672768676644882
ENSG00000026751	5172.34285476457	-3.83800122555688	1.13091749663748	-3.39370576277074	0.00068953735615127	0.00626041497045255
ENSG00000026950	9396.05500565725	-2.42311153101685	0.510838905247905	-4.74339660923229	2.10164229737137e-06	4.4514368972152e-05
ENSG00000029364	6874.59499430581	-1.41061723134139	0.394185052303182	-3.5785660138539	0.000345484609667158	0.00355480310944957
ENSG00000031081	2191.29491561862	-3.3130348199985	0.676809684645177	-4.8950759647232	9.82677619602849e-07	2.32305559769103e-05
ENSG00000033100	7069.81126251225	-2.03776478923534	0.380506374648723	-5.35540249783349	8.536617097274e-08	2.6998916365126e-06
ENSG00000033170	6386.6058884996	-3.23979290325324	0.604353052992217	-5.3607620367146	8.28716230506923e-08	2.62746184338179e-06
ENSG00000035141	4964.25474550769	-1.04257595044239	0.297881065771724	-3.49997388300385	0.000465303743855665	0.00452739986853111
ENSG00000036054	4074.96287694158	-1.5099358856055	0.440761365833643	-3.42574463791684	0.000613116519397319	0.00566445936922492
ENSG00000039068	185.251833421077	-5.76648280263897	1.62639807716308	-3.54555436556923	0.0003917881604842	0.00393916392467077
ENSG00000040933	3529.94408426737	-3.41600188621857	0.578896918799036	-5.90088109866833	3.61565414839753e-09	1.62684460688119e-07
ENSG00000044115	7023.39433103938	-1.04445754966321	0.258705976910852	-4.03723780229137	5.40842387682315e-05	0.000737792362694267
ENSG00000044574	44141.7743789659	-1.96534194461111	0.592107307559341	-3.31923271258418	0.000902651718553148	0.00775851777931064
ENSG00000048462	1911.39781830004	-3.02836738093724	0.663269372991095	-4.56581820939574	4.97549815712352e-06	9.39060416955132e-05
ENSG00000049449	609.706192689731	-2.89539314924247	0.52041086401952	-5.56366776604009	2.6416265809617e-08	9.58280929859782e-07
ENSG00000049860	2689.73710861963	-2.28865558622357	0.35320123109628	-6.47974974243423	9.18748762953099e-11	5.71167169884736e-09
ENSG00000051108	30917.1657740361	-2.94675213774157	0.545816255248916	-5.39879878879335	6.70885639713016e-08	2.17676998000908e-06
ENSG00000051620	6092.35665326061	-1.44463851076364	0.349236261371292	-4.13656504365038	3.52543456415351e-05	0.000512241553799575
