baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000938	12721.0287463629	-5.48795933900671	1.00981992402919	-5.43459205786881	5.49219368517085e-08	3.88084380565545e-07
ENSG00000001617	34.7956881674997	-9.63372530248151	1.69179712021151	-5.69437386279336	1.23825488907439e-08	9.67236288931005e-08
ENSG00000001631	5189.04753546913	-1.58945994787581	0.43558210093275	-3.64904789354788	0.000263214033643964	0.000892781401923934
ENSG00000002745	451.289393769431	-11.9541441807848	1.54398624801983	-7.74239031993716	9.75649277740863e-15	1.95222334152698e-13
ENSG00000002822	4750.12577937561	-3.13340463535211	0.593647001395426	-5.27822869143907	1.30438612433921e-07	8.62171149426249e-07
ENSG00000002834	15731.6036876344	-2.51046258727536	0.43207790053959	-5.81020826138119	6.23951744823471e-09	5.10033739911848e-08
ENSG00000002919	3295.38645557733	-4.97377013975756	0.813064948663926	-6.11730975235218	9.51682712305147e-10	9.02415364705745e-09
ENSG00000003249	1239.30595467664	-4.42879552063327	1.19000877599602	-3.7216494617247	0.000197925658433695	0.000689900623246283
ENSG00000003402	27876.3261969975	-1.68339019371967	0.31491101961353	-5.34560586601759	9.01151080411202e-08	6.126666443633e-07
ENSG00000004660	742.003857235043	-2.76301467159913	0.87916286538468	-3.1427790917786	0.00167352088077046	0.00463090621570564
ENSG00000004700	5752.52349523204	-1.95756859707725	0.649870640683755	-3.01224347512854	0.00259324510791894	0.0068568535122178
ENSG00000004766	3437.78538894365	-3.23454213174959	0.754748905250202	-4.28558704656528	1.82257265777501e-05	7.97192619645284e-05
ENSG00000004777	2481.69068728345	-5.67087626138982	1.04249993054137	-5.43968982179686	5.33734142272908e-08	3.78091535012788e-07
ENSG00000004799	397.281501817501	-7.58248669245094	1.6645643971636	-4.55523781799697	5.23263440406533e-06	2.56141245843059e-05
ENSG00000004838	155.085921540329	-4.43248024847599	1.03173896566314	-4.29612566355584	1.73809079470294e-05	7.65194925467761e-05
ENSG00000004975	4439.98682255582	-2.20470746338936	0.571389658297407	-3.85850081704106	0.000114084686489098	0.000419477941525775
ENSG00000005007	11691.4689307697	-6.14556901323595	0.633712190550465	-9.69772888209344	3.08284229279427e-22	1.3349497600182e-20
ENSG00000005206	9027.63439444311	-3.1230925207179	0.58340391106286	-5.3532252038355	8.64002064481488e-08	5.89546135958116e-07
ENSG00000005243	67.518903222398	-8.35525876991072	1.36605746238181	-6.1163303887252	9.57546992663289e-10	9.07466532665411e-09
ENSG00000005339	30742.7012094319	-1.87231710564748	0.437333842629954	-4.28120790832949	1.85881590040972e-05	8.10755502438244e-05
ENSG00000005379	4595.49383094514	-6.75025801593559	1.02331113339087	-6.59648644060751	4.21015988381539e-11	4.93073371136437e-10
ENSG00000005471	4938.32880612459	-3.4004781406322	0.742507858476583	-4.57972006869937	4.655986639665e-06	2.30317230142538e-05
ENSG00000005810	58154.2840191473	-2.00306672568484	0.420172232445484	-4.76725154831533	1.86756079879729e-06	1.00188585673725e-05
ENSG00000005844	18306.6791282131	-2.21045801546156	0.579170656072761	-3.8165918668087	0.000135307710505366	0.000488891017333037
ENSG00000005884	1783.4702999644	-5.63546468641161	0.772849315537519	-7.29180264912589	3.0583494253598e-13	4.96151826085268e-12
ENSG00000006062	10295.5646337124	-2.51401637191368	0.587451452773411	-4.2795304361659	1.87288026147448e-05	8.16658968649136e-05
ENSG00000006118	84.8031014196652	-9.59171602588879	1.66847623789539	-5.74878791081121	8.98854832857975e-09	7.20791092939482e-08
ENSG00000006194	5376.50125479377	-1.68141699111078	0.362349924091831	-4.64031280074079	3.4788219160503e-06	1.77386305912613e-05
ENSG00000006283	14.691386788806	-21.3075019717433	2.10306167210587	-10.1316581697803	3.99811116486384e-24	2.11661759724829e-22
ENSG00000006432	5862.97918046833	-5.80114755904172	1.01264026701727	-5.72873482123026	1.01182418964966e-08	8.06074790417512e-08
ENSG00000006459	15166.2124690867	-4.07800138434119	0.762998791151957	-5.34470228738413	9.05657833885096e-08	6.15482877209316e-07
ENSG00000006576	11208.1276264876	-2.67695138024306	0.585167547749736	-4.57467504911591	4.76959682388175e-06	2.35110773968812e-05
ENSG00000006607	10561.0456069354	-3.24708983612457	0.619707909002659	-5.23971017466978	1.60828982573742e-07	1.04787031547274e-06
ENSG00000007129	1188.26503242029	-2.79604793387189	0.554484350427038	-5.04260928503845	4.59226321721624e-07	2.72981841648532e-06
ENSG00000007168	15353.8888089335	-1.76563811877625	0.4275643821219	-4.12952573367736	3.63512315666588e-05	0.000148968599538397
ENSG00000007202	22282.9781923248	-2.61535460072307	0.357601207872396	-7.31360673047927	2.60065558354244e-13	4.26406519367618e-12
ENSG00000007312	43510.0081331606	-2.90910385473793	0.677933047773785	-4.2911373981412	1.7776028002852e-05	7.80149586570072e-05
ENSG00000007392	10474.8640362847	-2.26994515088	0.533673442671973	-4.25343472126875	2.1051632700399e-05	9.08113075361842e-05
ENSG00000007516	10336.669576495	-8.94713544836806	1.02663519098045	-8.71500950578507	2.90734267159745e-18	8.59880963886827e-17
ENSG00000007520	1947.55079214065	-4.69578584429451	0.739189397477616	-6.35261525708871	2.11684705697552e-10	2.23015053638195e-09
ENSG00000007545	7119.55538406507	-4.46092250262899	0.669345423143452	-6.6646044753382	2.65379066672101e-11	3.19438465998463e-10
ENSG00000007944	7452.39587581827	-1.93587435503307	0.573803661950142	-3.3737574076362	0.000741496834344363	0.00225304039913775
ENSG00000007968	2428.02161060607	-3.40790482476336	0.869410915099091	-3.91978610525605	8.86275918558854e-05	0.000332979481927073
ENSG00000008128	7320.26188670108	-3.03980545134332	0.587653764637481	-5.17278308123927	2.30632706123964e-07	1.45478980014316e-06
ENSG00000008130	8672.10330522361	-2.80375176825459	0.864507761382702	-3.2431770927889	0.00118204714450669	0.00341296156204975
ENSG00000008300	2291.54344886563	-3.75315958235771	0.807660857090547	-4.6469499535706	3.36878852814786e-06	1.72139487634981e-05
ENSG00000008382	1020.10663976096	-2.65024263604348	0.816291128321758	-3.24668803088944	0.00116756294418619	0.00337980853641006
ENSG00000008710	7301.29737248362	-4.56115571422464	0.517824455189907	-8.80830495452727	1.27052399784983e-18	3.92259767380037e-17
ENSG00000008735	71.3230289952319	-5.91390664068339	1.2591990855024	-4.69656205184093	2.64576884554739e-06	1.37906618097544e-05
ENSG00000008853	12103.7395195382	-4.29780099283561	0.86879991901291	-4.94682480831555	7.54338091609745e-07	4.32425719317901e-06
ENSG00000009335	8022.35548160923	-2.90150503195118	0.514291659531933	-5.6417501201398	1.68330280137365e-08	1.28689985104564e-07
ENSG00000009954	14155.2300522158	-1.41758970376167	0.375997037663499	-3.77021508618999	0.000163106915294201	0.000579661108057336
