baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000457	2643.57064361347	-1.91451835887966	0.536381299648948	-3.56932346473055	0.000357904298934612	0.00104662992214853
ENSG00000000938	12721.0287463629	-5.79491253265228	0.922335377232274	-6.28286919888244	3.32380706789104e-10	2.82783142380574e-09
ENSG00000001167	4468.76801043229	-1.84579695342442	0.541149968905757	-3.4108787942033	0.00064753869613067	0.00179213921669203
ENSG00000001617	34.7956881674997	-8.08133714588203	1.6182222327075	-4.99396002757971	5.91536459519412e-07	2.9590840427618e-06
ENSG00000001629	8001.84726081758	-1.12597085861492	0.352588780453541	-3.19343927270337	0.0014058890427584	0.003614898622732
ENSG00000001631	5189.04753546913	-2.259242205643	0.397596031403412	-5.68225542309477	1.32929933029208e-08	8.77264833527653e-08
ENSG00000002587	1094.11915045718	-4.06581613922278	0.941840911812003	-4.31688206387273	1.58248654230861e-05	6.07801517546231e-05
ENSG00000002745	451.289393769431	-10.2742843784353	1.48943482470845	-6.89810940901453	5.26991546388796e-12	5.8359562199436e-11
ENSG00000002822	4750.12577937561	-3.5787335999485	0.542064359364561	-6.60204556548173	4.05522820007914e-11	3.89338793876842e-10
ENSG00000002834	15731.6036876344	-1.88086276252516	0.394472366630073	-4.76804694481677	1.86020443644982e-06	8.53440166334271e-06
ENSG00000002919	3295.38645557733	-4.24278527602684	0.742555676426657	-5.71376047711879	1.1050651263219e-08	7.41157261847664e-08
ENSG00000003249	1239.30595467664	-8.51305858262507	1.09348957229814	-7.78522154969756	6.95911505675732e-15	1.12035781771704e-13
ENSG00000004700	5752.52349523204	-1.98118439814022	0.593264895121037	-3.3394600193494	0.000839414328941411	0.0022638181391189
ENSG00000004766	3437.78538894365	-3.67032166387457	0.689130856173351	-5.32601556147895	1.00390534164302e-07	5.75881569621854e-07
ENSG00000004777	2481.69068728345	-5.35341401997132	0.956851385655137	-5.59482287451144	2.20847117577813e-08	1.41008170951006e-07
ENSG00000004799	397.281501817501	-9.42688012002718	1.56483376855766	-6.02420545200539	1.69942383206177e-09	1.2968761715255e-08
ENSG00000004838	155.085921540329	-3.88174182728736	0.946209826724503	-4.10241123866236	4.08866727190231e-05	0.000144213477209453
ENSG00000004975	4439.98682255582	-2.17862120243671	0.521656026244017	-4.17635586062915	2.96216294361231e-05	0.000107626953080303
ENSG00000005007	11691.4689307697	-5.7998227582583	0.578985683291267	-10.017212731909	1.28063577767588e-23	5.28786724043773e-22
ENSG00000005206	9027.63439444311	-3.90677314167697	0.532642960952774	-7.33469402221831	2.22228608587769e-13	2.96211266127091e-12
