baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000460	2051.36222597499	-1.32607495226874	0.441662777629312	-3.00246029195992	0.00267806908389317	0.00638652043114323
ENSG00000000938	12721.0287463629	-7.96820009660239	0.936510719218627	-8.50839177073233	1.7636241432287e-17	3.60423015411499e-16
ENSG00000001084	4451.90941614276	-3.31455421591767	0.604153049971903	-5.48628235191698	4.1048061583143e-08	2.49571009786872e-07
ENSG00000001167	4468.76801043229	-1.73327433611761	0.54949494347573	-3.15430443300188	0.00160881165145351	0.00404865537673709
ENSG00000001617	34.7956881674997	-5.4330674410826	1.63389446320783	-3.32522544351845	0.000883470662158065	0.00235298774780777
ENSG00000001629	8001.84726081758	-1.46262871700554	0.358003822147472	-4.0855114569225	4.39798302284194e-05	0.000155221828408395
ENSG00000001631	5189.04753546913	-2.02301604601427	0.403703760186557	-5.01113996332213	5.41085407712644e-07	2.75006119209732e-06
ENSG00000002587	1094.11915045718	-5.39529661382076	0.956147590769096	-5.64274455733445	1.67360562438814e-08	1.07931282562681e-07
ENSG00000002745	451.289393769431	-13.1182494141775	1.49763724454539	-8.75929699395234	1.96471834063532e-18	4.41835030904881e-17
ENSG00000002822	4750.12577937561	-3.5996340559645	0.550392372862141	-6.5401234345704	6.14680797760767e-11	5.62546634019158e-10
ENSG00000002834	15731.6036876344	-2.66037231914819	0.400548204783538	-6.64182809304037	3.09816190237286e-11	2.95108823965102e-10
ENSG00000002919	3295.38645557733	-3.31472432260495	0.753997319447453	-4.39620173322905	1.10161558305892e-05	4.39638253638779e-05
ENSG00000002933	55.6205829765528	-8.17505401347351	2.0777501622039	-3.93457026844946	8.33456829425818e-05	0.000277050009845638
ENSG00000003249	1239.30595467664	-9.02415462601246	1.10861212188549	-8.14004686387925	3.95124927216644e-16	7.00406475260819e-15
ENSG00000003402	27876.3261969975	-2.17167699641312	0.291914805966437	-7.43942051593919	1.0112792584407e-13	1.32602392637628e-12
ENSG00000004139	3392.94919857008	-1.57272399081626	0.519619063795639	-3.02668647167801	0.00247250266056974	0.00595023364255596
ENSG00000004700	5752.52349523204	-1.72942528796027	0.602429470748878	-2.8707514687328	0.00409497342197837	0.00935236178804871
ENSG00000004766	3437.78538894365	-2.870257724192	0.699761409167865	-4.10176624001775	4.10008379054545e-05	0.000145544632136433
ENSG00000004777	2481.69068728345	-6.92392513199749	0.970362177675943	-7.1354029364382	9.6504038953216e-13	1.11928477369531e-11
ENSG00000004799	397.281501817501	-9.18649405206937	1.5805115403138	-5.8123549355707	6.16000579248718e-09	4.25222557287308e-08
