baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000460	2051.36222597499	-3.34836987672715	0.365060127405117	-9.17210515573885	4.63870196136963e-20	3.52669019760276e-18
ENSG00000002016	1815.89339977933	-1.7366150031899	0.305566445152587	-5.68326473910675	1.32147465268251e-08	2.30548640984841e-07
ENSG00000002549	5735.82695477036	-1.1661880178269	0.297608901577401	-3.91852532516942	8.90923699348457e-05	0.00059461809365913
ENSG00000003147	968.868780212807	-3.46185933563402	0.640674544049849	-5.40346009964876	6.53675015592056e-08	9.61314082380013e-07
ENSG00000003249	1239.30595467664	-3.92769037997757	0.869072127073898	-4.51940668400195	6.20131729707536e-06	5.75157430787504e-05
ENSG00000004399	3556.28696516608	-2.24272516863163	0.592132123646918	-3.78754179864247	0.000152145095822046	0.000954448455016874
ENSG00000004468	12568.2146926711	-4.85814432113451	0.80090549491575	-6.06581469595929	1.31286430701532e-09	2.74393606865977e-08
ENSG00000004534	28444.9976977364	-1.39359120772134	0.251244441873912	-5.54675437724001	2.91021113974061e-08	4.70115394055174e-07
ENSG00000004777	2481.69068728345	-4.14323999019317	0.773586681279888	-5.35588330365026	8.51394483116781e-08	1.22067579266242e-06
ENSG00000004846	16.443762840169	-14.2908378653927	2.39518552824627	-5.96648472398561	2.42419422570598e-09	4.85248733053755e-08
ENSG00000005020	7265.61068466307	-1.14531761378797	0.341842874817091	-3.35042119687529	0.000806887644585485	0.00396130207978668
ENSG00000005022	54567.3114939478	-1.2792485833327	0.393186987582889	-3.25353743570421	0.00113977706383415	0.00524449335257835
ENSG00000005189	936.205906297493	-6.8252380034265	0.548064450641202	-12.4533492282548	1.34097443788276e-35	4.44506206669377e-33
ENSG00000005249	517.6457001453	-4.71739175595485	0.691708951872819	-6.81990849356857	9.1098518612791e-12	2.66760927118091e-10
ENSG00000005513	35.8219135430928	-4.36002767428808	1.36619616758534	-3.19136283480734	0.00141603329444945	0.00632426187609949
ENSG00000005844	18306.6791282131	-2.45309099182974	0.442186862211046	-5.54763427290369	2.89560771650959e-08	4.68212705301756e-07
ENSG00000006047	35.9041117357833	-7.92634160865774	1.43683020698922	-5.51654716757857	3.4572473143364e-08	5.43131914576412e-07
ENSG00000006071	117.447403002755	-5.29888402191265	1.16515452455502	-4.54779508660994	5.42108796349126e-06	5.09637617169053e-05
ENSG00000006453	684.346680152738	-4.24406246989014	1.1859234731193	-3.57869842876716	0.000345309642223166	0.00193808398584719
ENSG00000006468	38.6949859802987	-18.6262262601221	1.86452651230177	-9.98978890202422	1.68941133836913e-23	1.73914928708882e-21
ENSG00000006704	81.2395677066297	-4.13144762327697	1.23061526272108	-3.35722117905615	0.000787301050008053	0.0038858628954239
ENSG00000006740	6530.52944163105	-3.79376866343022	0.630179802137775	-6.02013687293772	1.74269644193039e-09	3.57911410514923e-08
ENSG00000006831	3903.65518140048	-1.3515914754801	0.354897429895322	-3.80840029153987	0.000139868723797273	0.000886494924747991
ENSG00000007314	614.253293266257	-3.51799021564556	0.647367934637036	-5.43429791223444	5.50126042783905e-08	8.24393221799317e-07
ENSG00000007372	44.4747635261121	-5.04814709365979	1.19892663443062	-4.21055546577061	2.54743568890165e-05	0.000199627418949673
ENSG00000007923	3616.22220271979	-1.3838061889283	0.265358020309278	-5.21486476012846	1.83951391993498e-07	2.45871804104858e-06
ENSG00000007968	2428.02161060607	-4.14009717303446	0.659761574711757	-6.27514140216976	3.49316682608172e-10	8.00771050836493e-09
ENSG00000008282	18045.4699291739	-1.17888410252275	0.34836086514759	-3.38408880120128	0.000714149015916893	0.00358024978518045
ENSG00000008394	616.423484165827	-4.55393454582573	1.37131371187194	-3.32085540048256	0.00089742019404725	0.00432504864674008
ENSG00000008517	330.471127791557	-5.10461954073778	1.3697087993524	-3.72679181381564	0.000193932513967851	0.00118300974843694
ENSG00000009765	4.17300120379719	-29.1161035141243	4.13395098965551	-7.04316611081801	1.87919972389723e-12	6.1070306321319e-11
ENSG00000010256	10663.555163114	-1.05085914436384	0.331331399146112	-3.17162559018571	0.00151588305990361	0.00669622756792175
ENSG00000010278	1438.13231405446	-3.41679252387398	0.905276745191876	-3.77430718509153	0.000160452951917144	0.000998628323347634
ENSG00000010292	13338.4880059515	-3.94713344378937	0.495905361349249	-7.95944902279356	1.72807047273342e-15	8.02270028433719e-14
ENSG00000010295	3294.53983235264	-1.82589054113241	0.591208590453444	-3.08840326513522	0.00201235195969825	0.0084480044022388
ENSG00000010610	976.743769596688	-6.87468318931056	1.57894742666119	-4.35396585929883	1.33696537290782e-05	0.000114336244613065
ENSG00000010803	4572.76849810255	-1.08873019038229	0.301897785336479	-3.60628743655357	0.000310609070336591	0.00176726218048701
ENSG00000010932	182.041767996201	-6.66246571150423	1.21679811659566	-5.47540764621199	4.3650557247293e-08	6.66787406282612e-07
ENSG00000011028	430.146803965579	-3.29637885580288	0.777773696376386	-4.23822362617888	2.25295302271303e-05	0.000179521362492528
ENSG00000011304	20503.0859776176	-1.31328000336943	0.268857339812268	-4.88467231092313	1.03601007453066e-06	1.174475442905e-05
ENSG00000011332	42.750842399997	-4.12220186557185	0.950910579475304	-4.33500473603566	1.45756984251772e-05	0.000123316807401168
ENSG00000011426	1865.68665131472	-7.12889117313051	0.982192166732858	-7.25814297302318	3.92440633999142e-13	1.4109134637531e-11
ENSG00000011465	26.1482590194273	-6.30418567845058	1.81523259947451	-3.47293546858709	0.000514799117685564	0.00270351095580499
ENSG00000012048	3172.32353568314	-4.96462628392156	0.588627828850114	-8.43423644040067	3.33372131459493e-17	1.86665868473298e-15
ENSG00000012124	79948.8114469872	-3.04732584179138	0.664666271803361	-4.58474571535491	4.5453927053158e-06	4.35716244637964e-05
ENSG00000013810	11097.9427443977	-4.20515920228017	0.407214459882421	-10.3266450889155	5.33955350616361e-25	6.45969049716465e-23
ENSG00000014138	3038.18309774264	-2.37788002497688	0.531476903211823	-4.47409851793533	7.6734358566778e-06	6.96492474745771e-05
ENSG00000014257	189.608129788042	-3.97934589359928	1.30725256429156	-3.0440528496923	0.00233414131822862	0.00955211313785709
ENSG00000015285	7769.27064893457	-2.48924879306615	0.541707833972139	-4.59518699372212	4.32361361065604e-06	4.17789481503935e-05
ENSG00000016391	2759.10655743045	-4.81328806334622	0.694697705938464	-6.92860797178533	4.25001736891143e-12	1.31417514687198e-10
ENSG00000017797	5039.73363818706	-1.36699787560956	0.445124422104856	-3.07104667307503	0.00213309804364937	0.00886508700487581
ENSG00000018236	17.2224577115303	-17.6726949895237	3.09564012565801	-5.7088984094258	1.13709734818967e-08	2.00066363576386e-07
ENSG00000021826	38.6478829839652	-3.08574090329267	0.939435628719143	-3.2846751911037	0.00102100000803058	0.00478729481045051
ENSG00000023171	2415.12478131326	-5.75156522953336	0.763896909437154	-7.5292427007869	5.10354454091852e-14	2.01395588621866e-12
ENSG00000023318	8063.42396142432	-1.1073701015638	0.237270009480731	-4.66713051509245	3.05435327087172e-06	3.06433723434793e-05
ENSG00000023330	1978.17825961217	-1.49294808434221	0.462621248224169	-3.22714983385022	0.00125029970024158	0.00568209297193418
ENSG00000024526	1141.43088299533	-9.44497829166433	1.54137261360025	-6.12764117405932	8.91914512414785e-10	1.90743111338873e-08
ENSG00000025423	76.0427169902937	-2.48032614425697	0.534161835409397	-4.64339827340149	3.42724775458323e-06	3.40751075491676e-05
ENSG00000025434	414.258000484884	-2.25250548532476	0.528834975428019	-4.25937313147956	2.05001013844834e-05	0.000165740819681185
ENSG00000026036	3007.08067353296	-1.69852963110797	0.469043270204039	-3.62126426069196	0.000293166868949729	0.00168362705681663
ENSG00000027075	1515.57069489782	-3.27655391830708	1.01637660878046	-3.22375966743132	0.00126519533598084	0.0057371675782617
ENSG00000028203	9304.89674042551	-1.20365937833016	0.359183438426268	-3.35109932574813	0.000804914262181628	0.00395278488337727
ENSG00000028277	32397.3895812421	-3.01307923320535	0.559369530189324	-5.38656303318049	7.18177500845183e-08	1.04230069168197e-06
ENSG00000029534	1493.79502464715	-3.0292519255015	0.630906842290087	-4.80142506381103	1.57540462614061e-06	1.69330455730574e-05
ENSG00000029993	2106.43806256267	-2.67869224129957	0.571494096034672	-4.68717395312699	2.7700351015749e-06	2.80455478152122e-05
ENSG00000030419	2522.62782637611	-3.27379020785503	0.681431330302662	-4.8042848373305	1.553056078875e-06	1.67145139293989e-05
ENSG00000033011	1427.3972430521	-1.57706542498491	0.477129026468808	-3.3053227481393	0.00094867088077861	0.00451428974390602
ENSG00000035499	845.274091267088	-6.74997844035922	0.585107891743761	-11.5362970412904	8.65723802961437e-31	1.86344237795881e-28
ENSG00000035928	12787.2261273267	-1.48907151817919	0.277272545358087	-5.37042539230167	7.85511265332336e-08	1.134064783242e-06
