baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000971	601.531064207958	-12.2969205444786	2.09705961351816	-5.86388697069442	4.52155329213444e-09	3.79522823049535e-08
ENSG00000001036	1597.32531925015	-2.40324705536439	0.536091873176326	-4.48290148687617	7.36349278380185e-06	3.4980215508536e-05
ENSG00000002016	1815.89339977933	-1.39481173537003	0.399470617089747	-3.49165038853574	0.00048004613724346	0.00152962625769199
ENSG00000002549	5735.82695477036	-1.25832581171656	0.389486441747732	-3.23073071830206	0.00123474207118724	0.00354269862354912
ENSG00000002586	30738.2392044664	-3.10417779095997	0.529460298603681	-5.86290945543314	4.54826268072244e-09	3.81385601549357e-08
ENSG00000003056	8617.98125971372	-1.27974742505603	0.419649307468834	-3.04956401042333	0.00229173790481528	0.00614038866198959
ENSG00000003096	311.202832927963	-6.06418196409242	1.19086983073888	-5.09222906447289	3.53878196223152e-07	2.14204121068695e-06
ENSG00000003147	968.868780212807	-8.78050452977255	0.824435079292492	-10.6503286314645	1.7375058019089e-26	1.11147719631203e-24
ENSG00000003436	6003.06855504954	-15.7676335990078	1.39979895228204	-11.2642130309516	1.971049789155e-29	1.6727180321231e-27
ENSG00000004776	6.69366253612671	-4.80455534336015	1.51828756804844	-3.16445675013711	0.0015537275240541	0.00433421711698474
ENSG00000004809	269.140057405693	-12.8875916530946	2.53161158665794	-5.09066703637108	3.56806095384774e-07	2.15821681191192e-06
ENSG00000004846	16.443762840169	-24.2603761003969	2.9075306131044	-8.34397959252915	7.18313916788936e-17	1.81328631191802e-15
ENSG00000005022	54567.3114939478	-3.59580059752294	0.514756415741227	-6.98544105049209	2.83962477000113e-12	4.00631437892891e-11
ENSG00000005108	107.513977230247	-11.0969845001791	2.9797144672947	-3.72417713911163	0.000195953306943277	0.000684013941227378
ENSG00000005189	936.205906297493	-8.09185222852149	0.694083608332056	-11.6583249213548	2.08095981811339e-31	1.98549431685305e-29
