baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000004866	2004.58915162417	4.73465872794169	0.478706324330053	9.89052888442161	4.57603877601944e-23	2.16695047639275e-20
ENSG00000005884	1783.4702999644	2.93602481348781	0.579858905222285	5.06334349105548	4.11966607908355e-07	2.48288529435385e-05
ENSG00000006740	6530.52944163105	3.52073984358148	0.642253870703583	5.48185072006578	4.20899324336277e-08	3.1142791971203e-06
ENSG00000007516	10336.669576495	4.09122908405733	0.778639153556571	5.25433259471981	1.485622022448e-07	9.65596054904044e-06
ENSG00000008300	2291.54344886563	2.59625420620567	0.615010995897527	4.22147607688995	2.42707717471074e-05	0.000960056732545484
ENSG00000011590	4444.54066985894	7.06916554912373	0.516961281520167	13.6744584204377	1.44277463305698e-42	2.17386788802603e-39
ENSG00000015413	30.5187169948954	45.6801285958178	2.46787343607554	18.5099154308575	1.71770107747899e-76	7.11729441453421e-73
ENSG00000017427	67.811720204355	6.78013739549128	1.65333777581877	4.1008785347166	4.1158457043301e-05	0.00153294442030488
ENSG00000026103	1882.09160606635	4.0792846103924	0.696015559282489	5.86091008453556	4.60337203910143e-09	4.10195097720791e-07
ENSG00000031081	2191.29491561862	2.07956902273987	0.566511071282673	3.67083562556225	0.000241758785261524	0.0070173557038958
ENSG00000033327	14911.3994188928	1.86015792344875	0.513862431231443	3.61995314386184	0.000294656368844059	0.00833384753792052
ENSG00000041515	19.456199146316	19.4494708281389	2.08626535031708	9.32262563109857	1.13496234574711e-20	4.08931867791579e-18
ENSG00000043039	2.81722220631873	44.5515192265238	3.7738930249798	11.8051886822527	3.66966878566987e-32	3.20111002387855e-29
ENSG00000047648	294.546766104882	4.67733172750747	0.881200956497891	5.30790586757455	1.10891881512682e-07	7.4729390924082e-06
ENSG00000048540	41.8727315704457	17.1314827703216	2.22491149682691	7.69984909276342	1.36227014714671e-14	2.48112806800106e-12
ENSG00000051128	563.78659337772	6.01949405729942	0.939216952733924	6.4090560117953	1.46423397514599e-10	1.61788092693798e-08
ENSG00000053524	633.926937160863	3.00286296083464	0.740326670449104	4.05613235440109	4.98919945733072e-05	0.00181738443529229
ENSG00000055118	2345.69649496237	4.46061649322077	0.845951006420415	5.27290169213885	1.34283502380785e-07	8.86699110939895e-06
ENSG00000056487	5.2361109758513	15.8340579325949	2.19764507902793	7.20501143869815	5.8038977337652e-13	8.82511936141509e-11
ENSG00000057657	5574.95806529847	3.56498616854755	0.774289365677042	4.60420396634313	4.14046518649439e-06	0.000200655175441398
ENSG00000058866	3031.80682171727	2.79573825076951	0.500916496959008	5.58124611136194	2.38801449617914e-08	1.83235890091079e-06
ENSG00000059377	1709.90043406588	3.06950906653846	0.855885033469077	3.58635674945397	0.000335330136010088	0.00921621198031489
ENSG00000062524	1116.74994140701	4.03039754547781	0.884971505217213	4.55426815633862	5.25682646497339e-06	0.000246817682239289
ENSG00000064205	19.1903497953744	17.3609163165765	3.27520479143779	5.30071168739197	1.15352129248361e-07	7.74026797636571e-06
ENSG00000064393	6552.39673596296	2.26364295528055	0.456973933214003	4.9535494056736	7.28718449036016e-07	4.20848112084027e-05
ENSG00000064655	173.718540324496	5.82044214748278	1.46602369383953	3.9702237910214	7.1805155102414e-05	0.00249845882488075
ENSG00000064787	145.532573500335	4.53549734868871	0.96260173322211	4.71170702498849	2.45650369986031e-06	0.00012723153850464
ENSG00000065308	7227.1335539338	1.95996287106645	0.483641667364679	4.05251036732652	5.06709778562366e-05	0.00184171225216944
ENSG00000067225	53231.2658928376	1.25226669835085	0.329808855491759	3.7969468602766	0.000146489176115061	0.00461580153028712
ENSG00000069667	2198.01948795576	5.77003834050847	0.907700065808848	6.35676756877484	2.06043394549579e-10	2.24668632977942e-08
ENSG00000070388	7.78250763637277	3.39521659336039	0.884147284129498	3.84010294925376	0.000122982726835585	0.00396559477543384
ENSG00000073861	803.225681730075	2.42982828999561	0.377136589050175	6.44283360602899	1.17263235943791e-10	1.33117867981671e-08
ENSG00000074416	1839.60009918583	4.76759849214856	0.870013429168014	5.47991367984719	4.25533392526249e-08	3.12070373793365e-06
ENSG00000075035	50.588770361406	8.04258824148882	1.57778670953783	5.09738622645941	3.44375260109295e-07	2.12509928835675e-05
ENSG00000076513	30038.4616230279	1.16594467322067	0.316600272945687	3.68270267859398	0.000230774258877774	0.00675769004706753
ENSG00000076706	269.003379795229	4.84972129292559	0.968569520935523	5.0070967422569	5.52571580511203e-07	3.27082906264024e-05
ENSG00000076826	152.355446647236	2.64123099114242	0.718092667933456	3.67811998240201	0.000234959434368876	0.0068439677772052
ENSG00000077063	114.3499931263	21.1217404044806	2.51701251898853	8.391591319128	4.7960558706276e-17	1.11957507041946e-14
ENSG00000077943	51.6218623654142	21.2192437821689	1.73874551022903	12.2037662540816	2.96772739150224e-34	2.89335963451519e-31
ENSG00000078399	937.132239356171	5.40797701814782	1.25109593955367	4.32259177507773	1.54206903583381e-05	0.00063895630499774
ENSG00000078900	1536.08766006739	4.99171230258476	0.923274630876006	5.4065303384851	6.42573472942393e-08	4.55128749596035e-06
ENSG00000080561	387.525737631749	3.13539621107714	0.749370045693166	4.1840426223294	2.86370382622091e-05	0.00111154630481933
ENSG00000081052	4489.37230997284	5.57025328131384	0.865197425711132	6.43812974447477	1.20954590494298e-10	1.36374243731463e-08
ENSG00000081059	4795.57579715753	5.13591887334154	0.835617792277309	6.14625361116907	7.93344017192018e-10	8.01761203715885e-08
ENSG00000082175	26.4486540482429	19.9710079356416	4.15122211888428	4.81087433139067	1.50271481713666e-06	8.11270207792282e-05
ENSG00000088280	938.912694251341	3.19925745987903	0.629949869788479	5.07859055666327	3.80245181205139e-07	2.31697927694631e-05
ENSG00000088992	2121.71078452293	5.33624944441971	0.636689500935157	8.38124303382094	5.23716348543114e-17	1.20556593899355e-14
ENSG00000090097	1248.53012610355	1.75784896497232	0.350986912283329	5.00830345364365	5.49119112544507e-07	3.26204307215508e-05
ENSG00000091181	52.8882206374717	3.79677777980263	1.00299900376871	3.78542527513634	0.000153445938821329	0.00477150654788876
ENSG00000099256	92.5906945258048	3.49343214853477	0.831735325711105	4.2001728681513	2.66711266697741e-05	0.00104011118452903
ENSG00000099365	335.833683425138	2.96183553426432	0.654554974919919	4.52496069505343	6.0406731066324e-06	0.000279659542093088
ENSG00000100097	4909.23096888667	4.05941547947387	0.615464364793738	6.59569539957739	4.23267152641334e-11	5.10058257616029e-09
ENSG00000100292	1323.39579238456	3.09475201149371	0.629324862778949	4.91757468126719	8.76230328541462e-07	4.95653292329221e-05
ENSG00000100298	113.816898722122	2.2761916343631	0.624790782430326	3.64312614457774	0.000269346754149726	0.00768356816398892
ENSG00000100473	4113.38822141868	4.79160322740322	0.905549803346567	5.29137459882966	1.21400418454198e-07	8.0483621418395e-06
ENSG00000100678	97.9540766701531	5.02586218505866	1.1228887365873	4.47583275288104	7.6114051685054e-06	0.000342802796909806
ENSG00000101842	99.6771889363296	5.04106582802031	0.895821762482835	5.62730895713968	1.83042708063263e-08	1.437796134332e-06
ENSG00000102595	1516.95702313685	3.929051082603	0.646680737135135	6.07571999130377	1.23432631497249e-09	1.21051623339373e-07
ENSG00000103089	448.187575457122	5.6503881308296	0.84611403009704	6.67804566505246	2.42149594743667e-11	3.0404449873345e-09
ENSG00000103269	330.502394571965	2.44317154080102	0.644583963024579	3.79030767277693	0.000150460796600882	0.00471405906023255
ENSG00000103426	11873.8193481925	1.98068199521142	0.507402029575708	3.90357523178942	9.47820696033335e-05	0.0031418360432113
ENSG00000104321	10.239211005377	19.0119104645849	2.94468753844157	6.45634221505438	1.0726390464679e-10	1.23457774695549e-08
ENSG00000104783	15188.4619327083	2.83700310941669	0.632704402146581	4.4839313584536	7.32802436276655e-06	0.000333666691726628
