baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000460	2051.36222597499	-1.79808451293962	0.338386909399833	-5.31369406732879	1.0742491379773e-07	3.46482573452954e-06
ENSG00000002587	1094.11915045718	-3.20806973073401	0.728415852591902	-4.40417341182076	1.06187978571559e-05	0.000198575177379282
ENSG00000002933	55.6205829765528	-5.50926252358941	1.39151033224062	-3.95919627468259	7.52024154162023e-05	0.00103629182935626
ENSG00000004399	3556.28696516608	-4.3886203701976	0.548420610748266	-8.00228927247968	1.2212706195275e-15	1.43108315473841e-13
ENSG00000004846	16.443762840169	-14.5594399760914	2.21282916089767	-6.57955897968422	4.7184571520314e-11	3.12415569480844e-09
ENSG00000005187	4751.38509850759	-2.41658799774116	0.619771040850003	-3.89916249463166	9.6525982061739e-05	0.00128870098018164
ENSG00000005882	3124.44710139282	-2.24535226782996	0.645700344732003	-3.47739053594882	0.000506319746268255	0.00519001637962073
ENSG00000006071	117.447403002755	-5.64281460027885	1.10059936845397	-5.12703783230894	2.94336387834654e-07	8.68505631349789e-06
ENSG00000006125	15128.3517685906	-1.07671966866498	0.295062869852161	-3.64911948834655	0.000263140695528663	0.00303974159487296
ENSG00000006468	38.6949859802987	-18.1641731076188	1.76163620446894	-10.3109671914892	6.28654282274903e-25	1.93198508484785e-22
ENSG00000006638	431.558430316442	-5.53859635400402	0.621296072247121	-8.9145845296782	4.89648682038992e-19	7.5956168886201e-17
ENSG00000006740	6530.52944163105	-5.63688601655285	0.58380175126631	-9.65547979999378	4.65972821257781e-22	1.05413407120094e-19
ENSG00000007314	614.253293266257	-3.33611509571734	0.600452397303591	-5.55600262518493	2.76022721165531e-08	1.06034388734532e-06
ENSG00000007952	57.5824233090836	-3.9172742120314	0.772212770978168	-5.07279128143576	3.92022407614964e-07	1.11241480404748e-05
ENSG00000008513	13646.4899974015	-1.45579989617129	0.35041672582191	-4.15448176098523	3.26025620545761e-05	0.000522667845221394
ENSG00000008517	330.471127791557	-4.16081160008881	1.2702802822179	-3.27550671952812	0.00105472605228415	0.00939790915733273
ENSG00000009765	4.17300120379719	-28.0418421168443	3.84443347114762	-7.29414160169443	3.00569192159742e-13	2.73501173290385e-11
ENSG00000010818	17310.9139511678	-2.01035434459692	0.47390336964707	-4.24211869625256	2.21419527110794e-05	0.000374894101619607
ENSG00000010932	182.041767996201	-8.14951731585709	1.16730548975032	-6.98147776003368	2.92091151772421e-12	2.34363580298975e-10
ENSG00000011028	430.146803965579	-3.74591977219817	0.721581943409428	-5.19126040557354	2.08875249278917e-07	6.37108625515918e-06
ENSG00000011600	982.936238814731	-6.03361929076376	1.07736643059846	-5.60034090482307	2.13930670260119e-08	8.49878721267517e-07
ENSG00000012822	12188.2075739177	-1.52611301941114	0.287186859409808	-5.31400713301239	1.0724041771409e-07	3.46482573452954e-06
ENSG00000013725	4242.83932681549	-3.82981493713352	0.776884321951627	-4.92971067753376	8.23514848586567e-07	2.16345320222226e-05
