baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000971	601.531064207958	-15.1385882566516	1.94180236075104	-7.79615297758544	6.38230088424458e-15	1.03638747435695e-13
ENSG00000001036	1597.32531925015	-3.61821964038283	0.489554286206078	-7.39084457501764	1.45899083859986e-13	1.98705139373181e-12
ENSG00000001626	7.97156892264673	-22.4403127456022	6.68818090600902	-3.3552191636205	0.000793021303448715	0.00214968599881892
ENSG00000002549	5735.82695477036	-1.1306982445396	0.355399513936378	-3.18148506174381	0.00146522079005533	0.00375430870921778
ENSG00000002586	30738.2392044664	-4.29392001675614	0.483346848655009	-8.88372403524439	6.46585703132558e-19	1.59876125248941e-17
ENSG00000003096	311.202832927963	-7.55641065867313	1.09567252929979	-6.89659588663977	5.32634186011355e-12	5.88301251364275e-11
ENSG00000003147	968.868780212807	-8.6076795876131	0.742658861030744	-11.5903546557923	4.61218837310607e-31	3.35735505366446e-29
ENSG00000003436	6003.06855504954	-14.3187994226081	1.0515764982164	-13.6165076405707	3.19483972803218e-42	4.65124597646616e-40
ENSG00000004399	3556.28696516608	-3.59365525270565	0.707864187872381	-5.07675810455542	3.83929145360104e-07	1.98828439338897e-06
ENSG00000004776	6.69366253612671	-5.81218450236823	1.38656542040426	-4.19178526799958	2.76767895203926e-05	0.000101261795321662
ENSG00000004809	269.140057405693	-10.8378390939005	2.2087547246288	-4.90676441935937	9.25911342086917e-07	4.47788967501828e-06
ENSG00000004846	16.443762840169	-8.48818073254317	2.60593215219665	-3.25725315810241	0.00112496053617035	0.00295601891004278
ENSG00000004866	2004.58915162417	-6.25786132558551	0.56954433325927	-10.9874876460878	4.38975465798312e-28	2.63822692754516e-26
ENSG00000005022	54567.3114939478	-3.93952355733983	0.469887417451022	-8.38397329026258	5.11704093408944e-17	1.04241962961282e-15
ENSG00000005075	2751.86656970754	-1.39103877205654	0.38413450167465	-3.62122841346521	0.000293207499392886	0.000874238744658733
ENSG00000005108	107.513977230247	-9.77016080315814	2.62455017523843	-3.72260393241312	0.000197178701318861	0.000607877675770888
ENSG00000005189	936.205906297493	-6.83229853605024	0.609050027747563	-11.2179594857224	3.32862192913293e-29	2.13740559464627e-27
ENSG00000005194	5073.43250036743	-2.68466378223884	0.32295367112026	-8.31284491340907	9.3434593189672e-17	1.8541990714303e-15
ENSG00000005249	517.6457001453	-3.40130076204744	0.820923022733937	-4.14326394540625	3.42397484403907e-05	0.000122612568206386
ENSG00000005381	15469.1590534346	-9.70590644136238	1.72525053245593	-5.6257953605995	1.84655152417509e-08	1.19298248432551e-07
ENSG00000005448	2791.15647764361	-2.74836367267517	0.514065420033963	-5.3463305749949	8.9755216804544e-08	5.20173679270809e-07
ENSG00000005801	4504.94824382301	-1.10614830257312	0.355490160870105	-3.11161439705023	0.00186067366364404	0.00465044499506003
ENSG00000005882	3124.44710139282	-3.12645292536556	0.832810819870629	-3.75409739015066	0.000173967219444963	0.000542687692941388
ENSG00000005893	10831.0849904221	-3.34069223562199	0.34221958202034	-9.76183833753687	1.64152259867453e-22	6.07939334351217e-21
ENSG00000006007	4745.711330699	-2.67832058694148	0.37860078844236	-7.0742604577255	1.50247856561935e-12	1.78437820085651e-11
ENSG00000006016	39.4954583602871	-4.45415094243897	1.2266636061252	-3.63111037141536	0.000282204457253219	0.000844263750946388
ENSG00000006042	41.2828104630505	-11.3432524842667	1.68473306186548	-6.73296722253817	1.66237522420084e-11	1.70663785934978e-10
ENSG00000006047	35.9041117357833	-7.16410802837079	1.48465103202485	-4.82544912833824	1.3968811809487e-06	6.54202145975088e-06
ENSG00000006468	38.6949859802987	-8.45260807826205	1.99887315364572	-4.22868657915858	2.35059535096559e-05	8.73418136129963e-05
ENSG00000006530	2775.28929558795	-1.64837915497443	0.518194031368157	-3.18100760563048	0.00146763776530756	0.00375879080687203
