baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000460	2051.36222597499	1.43894057857254	0.365367182211201	3.93834106791988	8.20469125816096e-05	0.00278656870722868
ENSG00000002016	1815.89339977933	1.16698075629586	0.305784381986966	3.81635173357416	0.00013543939769982	0.00433353779435679
ENSG00000003249	1239.30595467664	4.0842630619918	0.869119607673273	4.69931068857809	2.61041073414719e-06	0.000133947205906364
ENSG00000004846	16.443762840169	15.7721953678537	2.39076428976751	6.59713524890715	4.19178341878772e-11	5.10058257616029e-09
ENSG00000005471	4938.32880612459	2.62981567665697	0.565542892663411	4.65007289592468	3.31817727394876e-06	0.000165151561977257
ENSG00000006468	38.6949859802987	16.594611394538	1.92502326762934	8.62047315146184	6.6678017088307e-18	1.841869092036e-15
ENSG00000006638	431.558430316442	3.90809303742685	0.666668908078965	5.86211984699899	4.56994979395597e-09	4.10195097720791e-07
ENSG00000008513	13646.4899974015	1.6057983707548	0.378477217524212	4.24278740279016	2.20760548746437e-05	0.000881659116849022
ENSG00000010932	182.041767996201	4.97887563578585	1.21999877547412	4.08104969929248	4.48327665068276e-05	0.00165491820063287
ENSG00000026559	598.710591623588	5.29190445924462	1.20160997971926	4.40401174138135	1.06267187835923e-05	0.000453936178142422
ENSG00000030419	2522.62782637611	4.51692961449342	0.681428922385105	6.62861446896541	3.38852301470388e-11	4.1601022552372e-09
ENSG00000035720	10294.298193549	1.26439058268885	0.345287734291864	3.66184621438099	0.000250404167192151	0.00723031126662492
ENSG00000050438	2390.4636962171	2.88749878041676	0.810771261282907	3.56142221401359	0.00036885138945606	0.00997282696385765
ENSG00000056998	38.451792941422	15.9406120877362	2.14946530042106	7.4160825413714	1.20635333331483e-13	1.92250962945769e-11
ENSG00000060138	36805.2632014035	4.14957351608853	0.444514470730084	9.33506958563833	1.00924933957415e-20	3.71717745646711e-18
ENSG00000064692	45.5883174672917	15.3323264903329	2.60279195883648	5.89072301313964	3.84509578299355e-09	3.52091809432791e-07
ENSG00000064989	398.133065755943	8.01542360916279	1.22560808765885	6.53995652433546	6.15367193480224e-11	7.23340132251151e-09
ENSG00000065717	55.5207616194925	3.99369810696012	0.875680377589182	4.56068013988744	5.09881992301521e-06	0.000242142812046
ENSG00000072422	196.677351143485	5.17434036334366	1.26203136060581	4.10000933800873	4.13133468047375e-05	0.0015352632509904
ENSG00000072657	46.4713867335772	14.6688309906611	2.60028752497905	5.64123422881061	1.68835494997186e-08	1.35182584255235e-06
ENSG00000072736	16064.7072427766	1.34707991278573	0.200173518592931	6.72956104411156	1.70175682179191e-11	2.20350918471711e-09
ENSG00000072832	23.24254169455	8.32685258531914	1.95989942483938	4.24861218886349	2.1509891791579e-05	0.000863208103035426
ENSG00000072952	96.1250818636196	2.47697139871369	0.653584044432509	3.78982843876549	0.0001507513667837	0.00471425123221328
ENSG00000073464	2671.83194025079	2.75435681075075	0.490809477223665	5.61186557833229	2.00156898772673e-08	1.55746499542643e-06
ENSG00000075213	62.744118406698	12.5666223138395	2.18719265220296	5.74554888943243	9.16232785680164e-09	7.70844781211322e-07
ENSG00000075673	14.5590296463104	14.7262555937222	2.3712548386395	6.2103217898635	5.28762110040591e-10	5.44329392038059e-08
ENSG00000076716	42.471673414604	5.34142024745528	1.17214968211908	4.55694381778848	5.1903300016036e-06	0.000245111662180973
ENSG00000077238	67162.9940256158	3.09413021871161	0.531546637515568	5.82099481086641	5.84983860585459e-09	5.15719282199117e-07
ENSG00000082293	8946.89132271775	2.71336120793647	0.735762617028381	3.68782151354097	0.000226182210623067	0.00664670914692678
ENSG00000084234	20242.8866794108	2.66022088843696	0.411597000736989	6.46316878809534	1.02532813822653e-10	1.18837682258507e-08
ENSG00000085563	2332.50199727282	3.98589137331767	0.633195342396138	6.2948842267763	3.07629372764375e-10	3.26836488730561e-08
ENSG00000085871	1239.55696136731	2.79635424391332	0.599335351786576	4.66575888703642	3.07480088395927e-06	0.000155371188569332
ENSG00000087266	13374.5230123775	2.27606648927617	0.413072571725327	5.51008865045061	3.5865302166567e-08	2.70196144594855e-06
ENSG00000090376	2532.89639559365	4.73538412101238	1.02081844884307	4.63881126597892	3.5041887092014e-06	0.00017285245138781
ENSG00000091972	6850.50035689352	3.9145165906621	0.495947115930702	7.89301210738178	2.94978985639474e-15	6.1112271349858e-13
ENSG00000092345	65.1581005605454	5.5922555428502	1.18755070149928	4.70906676724623	2.48853551224241e-06	0.000128489057881326
ENSG00000095110	2.25744133843669	15.3995723790315	3.80176811090432	4.05063431798011	5.10789791707954e-05	0.00185247921395353
ENSG00000096696	1055.00777477419	4.98555878464186	0.940711221487896	5.29977603196478	1.15944821314599e-07	7.74866721156515e-06
ENSG00000099194	3116.09328391207	2.7804646271104	0.5973536413592	4.65463744522226	3.24551280063893e-06	0.000162021473366836
ENSG00000099954	260.780036659511	5.8513584654499	1.17112231052208	4.99636836637619	5.84200196921503e-07	3.44574165970711e-05
ENSG00000100154	2089.86929094066	4.38378330934684	0.658501746787869	6.65720832287942	2.79077497948737e-11	3.47776725639276e-09
ENSG00000100422	7519.81044085385	1.65075698166999	0.362931792534741	4.54839453479947	5.40567220036699e-06	0.000252376369151782
ENSG00000100721	26854.0672258625	6.70658642704228	0.70211360703936	9.55199608696133	1.27221061299668e-21	5.40656889738639e-19
ENSG00000101040	12296.1720107676	1.06426194764478	0.239328649065362	4.44686397471004	8.7132973018242e-06	0.000383061510558181
ENSG00000101188	3.47792179654798	15.4235104509948	2.76989652889697	5.56826231236036	2.57292292805823e-08	1.9561295692494e-06
ENSG00000101236	2035.61955847011	2.28551681559337	0.490192108610771	4.66249206269484	3.12403139503441e-06	0.000157379016234955
ENSG00000101746	19.3535538647635	15.8422731926564	2.19080803114757	7.23124663020248	4.78580304466549e-13	7.34443515391535e-11
ENSG00000102755	906.667403848245	3.04268259395679	0.643880049998667	4.72554258198105	2.29501734262734e-06	0.000119992484027462
ENSG00000103489	11429.8907166567	1.85409642686349	0.464198259851409	3.99419081721028	6.4915569261025e-05	0.00229405254782991
ENSG00000103522	10704.6039033888	4.71737111732362	0.483751404505953	9.75164324771604	1.81506107888431e-22	8.35633953373014e-20
ENSG00000103528	2593.52588693299	2.93272841781086	0.556592089316696	5.26908030872527	1.37108973011494e-07	8.98570126627082e-06
ENSG00000103647	431.992966197925	4.68911915794114	0.870790409422193	5.38489986477065	7.24849905878874e-08	5.06905583967783e-06
ENSG00000104205	2107.90163000866	1.89781092264073	0.453106228199226	4.18844589751763	2.80871249354402e-05	0.00109276058375584
ENSG00000104327	23.9496888812288	35.6553561594831	2.27495904212757	15.6729661937728	2.31517767194786e-55	5.48167924783768e-52
ENSG00000104921	32760.8052726423	2.53307667409466	0.548090401699325	4.62164027365009	3.80717768226232e-06	0.000186686872502413
ENSG00000105483	13582.0649191356	1.55713594649307	0.33450645700763	4.65502507910498	3.23941274245775e-06	0.000162021473366836
ENSG00000105767	18.3332583109236	4.54616960541116	0.897344930609419	5.06624537603806	4.05738845851566e-07	2.45427577778973e-05
ENSG00000108018	31.1280147627852	15.1107150906798	1.97728075872046	7.64216969392764	2.13591411090374e-14	3.84789570370854e-12
ENSG00000108405	5087.84282068408	2.3649989258891	0.498838629298352	4.74100999198002	2.12655443702093e-06	0.000111890518219635
ENSG00000109083	3476.16224855207	1.68040635411888	0.441130616475996	3.80931699446058	0.00013935120504064	0.00443302662637921
ENSG00000109099	24.5915227632019	16.9490508383805	1.64241676988148	10.3195797493005	5.74741661992256e-25	2.97680259558114e-22
ENSG00000109458	9341.05719963274	2.17682776907856	0.505799065644191	4.30374019435194	1.67938589837411e-05	0.000692391589046083
ENSG00000109906	1168.59530134308	4.34445332242112	1.10872612611797	3.9184188232603	8.91317364326816e-05	0.0029783657250711
ENSG00000110675	15.7332229964878	13.7239086069833	2.33741462434237	5.87140529714302	4.3211641461321e-09	3.93510849219744e-07
ENSG00000110841	895.318195246466	4.93084778288578	0.577066299012352	8.54468159260889	1.28891143825375e-17	3.39086002819329e-15
ENSG00000111452	139.367187557044	4.36415765216803	1.12920208297871	3.86481544619176	0.000111173227556412	0.00362000996762273
ENSG00000112195	3795.53150778305	3.47018433714649	0.872510301124002	3.97724168147478	6.97192955699204e-05	0.0024481517050336
ENSG00000112761	30.3133561550083	15.8018962650929	2.3605738052726	6.69409116961211	2.17016094347522e-11	2.7882362385394e-09
ENSG00000112769	6.03903849848945	18.0103764291257	3.18262364265565	5.65897148118257	1.52282855499835e-08	1.23118831563623e-06
ENSG00000112936	23.6765883973539	17.0179479807657	2.36544723709719	7.19438916830358	6.27410067340156e-13	9.45335859645068e-11
ENSG00000114204	169.736181765402	7.02049821497267	1.24633298583422	5.63292337984102	1.7718018920202e-08	1.39837355039727e-06
ENSG00000114948	328.096703208648	6.59642732062649	1.25933200465052	5.23803674985379	1.62293750808904e-07	1.03855468181729e-05
ENSG00000115009	5.7736882183447	43.2109363964014	2.43499505565886	17.745800467225	1.85734583501092e-70	6.1567299738942e-67
ENSG00000115457	8.51763232148073	16.4015796123752	1.9532022884279	8.39727646724015	4.56953303401838e-17	1.08193486436887e-14
ENSG00000115963	32.4342138258236	15.6900239704994	2.25238034197065	6.96597447515098	3.26138276747725e-12	4.50451316568067e-10
ENSG00000117322	23512.8715033635	3.70149772284333	0.691485083538527	5.35296828660672	8.65230179734474e-08	5.92575413178478e-06
ENSG00000117525	23.761495420623	19.5639263612956	1.77854425234933	10.9999660314626	3.82275888178385e-28	2.6399335711119e-25
ENSG00000118473	139.675313823128	17.475702139462	2.22065996984621	7.86959839721536	3.55781491871348e-15	7.19112493448258e-13
ENSG00000118523	118.65689783204	5.21817246019229	1.32822823764904	3.92867152819192	8.54164151233479e-05	0.00286825147117361
ENSG00000118596	5029.46145547015	2.02163711362367	0.48964353803253	4.12879361534505	3.64671546194561e-05	0.00138308151181434
ENSG00000118785	581.716419457977	18.8565046562018	2.01989904012852	9.33536987819056	1.00639240562521e-20	3.71717745646711e-18
ENSG00000120156	72.9546949801491	16.4682229070275	2.00725777937493	8.20433881300279	2.31863366389047e-16	5.12387124604274e-14
ENSG00000121570	2981.58416755184	6.61437064116229	0.84539416287489	7.8240079381068	5.11675787756547e-15	9.97707588973765e-13
ENSG00000122591	7070.77275215501	1.84331665000684	0.465150971324791	3.96283521618135	7.40649050262763e-05	0.00256273848832047
ENSG00000122986	13646.5695531803	1.65432036995654	0.459194606317189	3.60265636224355	0.000314981812174785	0.008788734941052
ENSG00000123843	36.0119626933356	3.66814833928378	1.02294426270712	3.58587312428575	0.000335952275316247	0.00921621198031489
ENSG00000124203	6497.62402813278	3.48426488560814	0.7565281751468	4.60559831090499	4.11281622825451e-06	0.00019989975415569
ENSG00000125845	2.478137054386	34.6432066759096	2.62130128088693	13.2160339326534	7.09052622364901e-40	9.03987551005837e-37
ENSG00000126217	1065.17619892919	3.16426451597859	0.771302730200868	4.10249360216129	4.08721160627546e-05	0.00152915226100247
ENSG00000126218	10.041396649209	14.7442449800391	2.64022267923457	5.58447024033354	2.34413651706359e-08	1.81550087073887e-06
ENSG00000126467	50.3921212521129	19.1465116006767	2.03002902739039	9.43164424859952	4.03710036669913e-21	1.59311670184932e-18
ENSG00000126838	40.9506729362351	16.8253204162732	2.04791811172554	8.21581698991689	2.10724622796233e-16	4.77118706855556e-14
ENSG00000127955	2006.13851629858	5.9309899954023	1.44874589609302	4.09387872048301	4.24216264451075e-05	0.00157292178232933
ENSG00000128052	9.11504706970579	14.0653504893516	2.63228624588955	5.34339702276503	9.12206613344351e-08	6.22177465414373e-06
ENSG00000128283	26.5243487079077	21.0823815648427	1.66543546156024	12.6587802718527	1.00041606133291e-36	1.18434970003797e-33
ENSG00000128510	5.52291698299246	40.4034731408346	1.97367426666209	20.4711961965059	3.88955376226292e-93	6.44654640557457e-89
ENSG00000128805	160.0021821838	4.70472549692334	0.943176827041648	4.98816909198257	6.09542076474252e-07	3.58246467215754e-05
ENSG00000128886	9128.82255138587	3.93473489540048	0.671271515059776	5.86161457342651	4.58388022840609e-09	4.10195097720791e-07
ENSG00000129195	36.7216826530009	20.3454890959336	1.30804968586667	15.5540644333043	1.49321260601487e-54	3.09356321651131e-51
ENSG00000130224	30.3261922888838	15.0136896782886	2.69589411726819	5.56909471411374	2.56066270667421e-08	1.95577989402849e-06
ENSG00000130508	2412.35692691083	4.64497848486349	0.854987232878095	5.4328044984103	5.54751763803418e-08	4.03265602336748e-06
ENSG00000130635	387.053850901799	4.35279827640215	1.21383269473481	3.58599524900186	0.000335795071253514	0.00921621198031489
ENSG00000130957	3.65855420126169	15.0898318037077	3.12036000325594	4.83592655589811	1.32526850914404e-06	7.29734228257584e-05
ENSG00000131016	1108.71892650891	5.24699749636139	1.16082437407517	4.52006144386974	6.18216859716755e-06	0.000285412986990125
ENSG00000131781	644.151574568525	1.91648452344332	0.509003752184409	3.76516777178686	0.000166437290198054	0.00511786947633127
ENSG00000132640	773.211857725921	4.10716755971802	0.958662921186652	4.28426662693294	1.83342939646621e-05	0.000746615695750147
ENSG00000132854	10.9626363784035	16.6272246541485	2.42448711558797	6.8580379525408	6.98127146935431e-12	9.33125752686115e-10
ENSG00000132972	51.0374099265706	20.2830528030224	3.2298038327209	6.2799643116205	3.38650756983538e-10	3.57503034792686e-08
ENSG00000133056	11467.7451652386	1.67604551070791	0.470539470924198	3.56196581641908	0.000368088319243627	0.00996845719467955
ENSG00000133121	87.7797130653848	4.31695176252877	1.0034047814365	4.30230335991473	1.69031664705989e-05	0.00069469773705317
ENSG00000133640	17.043292449351	19.2000412402799	2.46571911716599	7.78679173414842	6.87321069969801e-15	1.29450675155449e-12
ENSG00000133687	32.9794167653997	14.8855599352771	2.5613271805167	5.81165891203099	6.18567754098505e-09	5.42441373356012e-07
ENSG00000134115	19.9026609847026	14.6900384013465	2.0101918918578	7.30777915324793	2.71593683040085e-13	4.20691000252932e-11
ENSG00000134215	8837.95656577793	1.95236469021422	0.368750759372366	5.29453740932563	1.19318062621392e-07	7.94207859392353e-06
ENSG00000134757	4.2686629451546	17.0523057316393	2.68448648181206	6.35216673549007	2.12303019418131e-10	2.29981061688634e-08
