baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000001036	1597.32531925015	-3.52554495438964	0.489657638712155	-7.20002033188362	6.02035817605061e-13	3.73713170074392e-11
ENSG00000002549	5735.82695477036	-1.59375251666316	0.35541356168221	-4.48421976111367	7.31812119375038e-06	0.00010166851690295
ENSG00000003147	968.868780212807	-2.53293039285055	0.74706904894342	-3.39049033878845	0.000697677135597475	0.00490986452463028
ENSG00000003400	3287.19091240044	-2.15886970527434	0.684450498185227	-3.15416485340932	0.00160958135145921	0.00984170973523271
ENSG00000003402	27876.3261969975	-1.64487241393834	0.287388399398416	-5.72351708482846	1.04341069249382e-08	2.93607619989688e-07
ENSG00000004399	3556.28696516608	-3.75764531098132	0.707981435894638	-5.30754779782183	1.11109874979286e-07	2.5089033622707e-06
ENSG00000004468	12568.2146926711	-3.99709928030448	0.956770992381618	-4.17769697464886	2.94475614030165e-05	0.000335439094634773
ENSG00000004866	2004.58915162417	-5.74789794589673	0.569702041082035	-10.0893055165815	6.16038050819816e-24	1.67380568103076e-21
ENSG00000005189	936.205906297493	-2.14956910101048	0.613739788310891	-3.50241118785281	0.00046106746613907	0.00346406717306842
ENSG00000005243	67.518903222398	-4.67470571352751	0.633736434203578	-7.37641937756388	1.62603274937278e-13	1.11363085901258e-11
ENSG00000005249	517.6457001453	-2.7522293609028	0.821870717208528	-3.34873758521377	0.000811806448377887	0.00555069310041877
ENSG00000005884	1783.4702999644	-3.98129790426222	0.692193759985531	-5.75171019216562	8.83451509004723e-09	2.5115480806594e-07
ENSG00000005893	10831.0849904221	-1.1031164250728	0.342368657402471	-3.22201346771072	0.00127293151611947	0.00805865811618183
ENSG00000006042	41.2828104630505	-6.81843711604589	1.69524487420125	-4.022095698274	5.76826112259921e-05	0.000598267583516641
ENSG00000006071	117.447403002755	-8.52711243261094	1.3633447444678	-6.25455334552202	3.98655182788586e-10	1.48813310800406e-08
ENSG00000006740	6530.52944163105	-6.51099167689159	0.760669874555225	-8.55954980562187	1.1330910923164e-17	1.32252477211634e-15
ENSG00000007968	2428.02161060607	-3.49919574534825	0.788661264793298	-4.43688044735576	9.12719510455557e-06	0.000123489087071758
ENSG00000008517	330.471127791557	-5.63441651141083	1.67543739165842	-3.36295258746353	0.000771136066759406	0.00531647636042862
ENSG00000010030	308.567549201825	-7.42117398225479	1.73656943257324	-4.27346804743541	1.92455874971375e-05	0.000231982812492769
ENSG00000010310	84.1545128039018	-5.65391824800629	1.19195638580414	-4.74339356317296	2.10167391356555e-06	3.42508785087861e-05
ENSG00000010379	22.1000801248638	-2.59217929455073	0.676153748946468	-3.83371281840805	0.000126223496858526	0.00116417820641803
ENSG00000011478	1036.22484021261	-3.30381307995218	0.593440973643344	-5.56721430889563	2.58843971875402e-08	6.7364902994256e-07
ENSG00000011590	4444.54066985894	-3.27419887128638	0.617115230828394	-5.30565234452438	1.12270755898984e-07	2.52822759275783e-06
ENSG00000012822	12188.2075739177	-2.47126523534432	0.370534146806002	-6.66946692132584	2.56734236449476e-11	1.19525652666113e-09
ENSG00000013375	3596.15600904428	-2.84434048677518	0.450630292380142	-6.31191585401842	2.75602075274561e-10	1.05736777675939e-08
ENSG00000013392	601.790922360062	-3.76536511697858	0.845200963414258	-4.45499387715802	8.38955890205745e-06	0.000114622246747364
ENSG00000014257	189.608129788042	-5.88765732499657	1.56462413006081	-3.76298512331377	0.000167897192948238	0.00149127978345343
ENSG00000015413	30.5187169948954	-51.5274776867206	2.868964751181	-17.9603035086121	3.98622197440463e-72	3.30338215018912e-68
ENSG00000016391	2759.10655743045	-8.1449794696377	0.832706011266591	-9.78133862303785	1.35407642148013e-22	3.03276521751509e-20
ENSG00000016864	2232.7197610956	-2.25631308694013	0.667457897717837	-3.38045754594393	0.000723652534823161	0.0050564153086674
ENSG00000017427	67.811720204355	-8.14981910763714	1.92828524696782	-4.22645929612983	2.3739719059926e-05	0.000278655880806808
ENSG00000017483	1183.96311550467	-2.94722798580902	0.774325572843582	-3.80618707320464	0.000141125653251004	0.00128376321458954
ENSG00000022567	989.041310195209	-2.50103254228658	0.605581984047551	-4.12996523702759	3.62818091023348e-05	0.000402230571278995
ENSG00000023171	2415.12478131326	-2.94542774608346	0.90606075678292	-3.25080600173167	0.0011507835328832	0.0074214343478623
ENSG00000023228	7558.40117897171	-1.09128896456817	0.304969122864982	-3.5783588656984	0.000345758492800663	0.00273537052967932
ENSG00000025423	76.0427169902937	-2.54132182948796	0.630517762363721	-4.03053170137652	5.56508222852771e-05	0.0005815616195184
ENSG00000025796	8512.3774140252	-1.58279693986689	0.358951844988611	-4.40949659951492	1.03611185324094e-05	0.000137710648401086
ENSG00000026751	5172.34285476457	-7.28990594582395	1.13128561094315	-6.44391290343241	1.16431917807564e-10	4.848599511916e-09
ENSG00000029364	6874.59499430581	-1.643909143075	0.394225267075705	-4.16997407413591	3.04634292301132e-05	0.000345113380765479
ENSG00000030582	16563.5999718948	-2.53918199556126	0.710666059760365	-3.57296083116374	0.000352967573729586	0.00277913756151742
ENSG00000031081	2191.29491561862	-2.97283534043596	0.67691197170514	-4.39176061984455	1.1243645326984e-05	0.00014673399814916
ENSG00000033011	1427.3972430521	-2.53639070778215	0.569593626684562	-4.45298294952094	8.46854817935943e-06	0.000115425754543341
ENSG00000033100	7069.81126251225	-1.99183238935568	0.380541417199162	-5.23420657865796	1.65695057954275e-07	3.5442182554377e-06
ENSG00000033170	6386.6058884996	-2.4698978768496	0.604363588464203	-4.08677478920604	4.37411343330273e-05	0.000473524206685561
ENSG00000035499	845.274091267088	-3.09485286519669	0.682824230701477	-4.53242976163469	5.83090674391918e-06	8.3745423634943e-05
ENSG00000037042	1185.2299583639	-3.13713868135231	0.596850615423296	-5.25615388555376	1.47099219062222e-07	3.21215079939034e-06
ENSG00000039068	185.251833421077	-10.445931844178	1.67198234555245	-6.24763286045729	4.16719775847013e-10	1.54859048540098e-08
ENSG00000040933	3529.94408426737	-3.25706683120329	0.578958762885434	-5.62573198645551	1.84722965274156e-08	4.94603946115324e-07
ENSG00000041515	19.456199146316	-21.5088576454272	2.4041256921272	-8.94664439378624	3.66452472225118e-19	5.28137676057314e-17
ENSG00000043039	2.81722220631873	-45.2889515348443	4.44715411482325	-10.1838052753529	2.34219141321734e-24	6.93205008619004e-22
ENSG00000044574	44141.7743789659	-3.61961120008299	0.5921240424344	-6.11292725963579	9.78199661318893e-10	3.36362680221978e-08
ENSG00000047230	4095.11906567662	-2.19764052225519	0.417143906619164	-5.26830306612043	1.37690650624494e-07	3.03847450758174e-06
ENSG00000048462	1911.39781830004	-5.35830762352984	0.66372053104895	-8.07313827562562	6.85139407020944e-16	6.64064358594452e-14
ENSG00000048545	46.5737086405939	-7.04902104166018	1.56270033414529	-4.51079512024013	6.4585077704998e-06	9.15682701353839e-05
ENSG00000049323	860.723679195211	-6.08768733019152	1.35269743564921	-4.50040575945188	6.78238697663694e-06	9.54255362909853e-05
ENSG00000049449	609.706192689731	-1.78938034942079	0.520422735605223	-3.43832086301887	0.000585333675818981	0.00424751328503668
ENSG00000049656	11389.7251699929	-3.43619405639791	0.439123647369519	-7.82511731486503	5.07183728321008e-15	4.26703711329563e-13
ENSG00000049860	2689.73710861963	-1.13032588430568	0.353199153591606	-3.20025082962866	0.00137308035578682	0.00860719887171362
ENSG00000050730	38.8364400923254	-8.5283695247167	2.07759673425098	-4.10492054791922	4.04453863630328e-05	0.000442177990488724
ENSG00000050820	231.08603839528	-6.68179495107961	1.13211423137846	-5.90205013406101	3.59012024387808e-09	1.0978349247608e-07
ENSG00000051108	30917.1657740361	-3.21632567580176	0.545825491480619	-5.89258971228529	3.80189564285797e-09	1.15364927564065e-07
ENSG00000051341	2245.17784537801	-2.92030870606051	0.663168877815186	-4.40356718138144	1.06485287774044e-05	0.000140914865325414
ENSG00000053524	633.926937160863	-4.54618270399339	0.870607026122902	-5.22185391064327	1.77140694493211e-07	3.76884450645761e-06
ENSG00000054148	3119.49237580276	-2.50152599534169	0.491675938881282	-5.08775353342173	3.62329826010999e-07	7.18331882333288e-06
ENSG00000054654	73139.4124477738	-3.34924526318946	0.818505198203108	-4.09190469473153	4.2784449580069e-05	0.000464380790661469
ENSG00000055813	91.0151154048765	-8.34870124423059	1.76852208774483	-4.72072206622911	2.35008878449667e-06	3.77426080564416e-05
ENSG00000056487	5.2361109758513	-18.3483146107771	2.40416967855995	-7.63187173285011	2.31369582363401e-14	1.77533308244954e-12
ENSG00000056736	734.654130519153	-8.19643772716898	1.1748047408416	-6.97685108190597	3.01869380525078e-12	1.66218708067198e-10
ENSG00000057294	37.7581136514302	-4.19333321865422	1.28215410305501	-3.27053761218149	0.00107343266505767	0.00700160290856586
ENSG00000057657	5574.95806529847	-7.99563842666317	0.92503382224459	-8.64361738391553	5.44607152554808e-18	6.63699922532602e-16
ENSG00000058262	17631.2989716094	-3.49785360522155	0.346363288024259	-10.0988000927413	5.59222253770033e-24	1.54475827233075e-21
ENSG00000058335	6166.50343039759	-3.69223610810195	1.06283044174754	-3.47396533169587	0.000512827288833282	0.0037877003053132
ENSG00000058404	954.627625412198	-5.26668567364328	1.02727271980358	-5.12686219746035	2.94610988557631e-07	6.02081692275484e-06
ENSG00000058668	8963.46487279636	-2.74378583357448	0.709314028965485	-3.86822439924982	0.000109630753360895	0.00102947314799064
ENSG00000058799	2230.2759397995	-2.78772471457126	0.560844275120981	-4.97058602224284	6.67508373697488e-07	1.23612109337007e-05
ENSG00000059573	7229.01862218893	-2.52080913988447	0.39530241164122	-6.37691313194513	1.80692880630597e-10	7.2513409287446e-09
ENSG00000060656	43.6351715037735	-3.55964024422336	0.987312761705431	-3.60538259231515	0.000311693385712383	0.00250898794307772
ENSG00000060762	3213.59870443714	-1.73760427318601	0.418308947477713	-4.15387785430668	3.26887714283759e-05	0.000368309787664107
ENSG00000061676	100.16196036605	-4.65472648846842	1.29815757755186	-3.58564057935598	0.000336251807330911	0.00266907924075791
ENSG00000063241	936.325994955082	-3.06266661112505	0.815133009528755	-3.75725995061302	0.000171784022649497	0.00152335387447446
ENSG00000063587	6492.10671102117	-2.70519495031514	0.679280733904426	-3.98244027144123	6.82112703922379e-05	0.000687672503333911
ENSG00000064393	6552.39673596296	-2.32183368807364	0.546137540079998	-4.25137171074805	2.1246520111476e-05	0.000252249157827797
ENSG00000064489	8724.12313762696	-3.86497126356653	0.585537145767206	-6.60072771045534	4.09144417850173e-11	1.83771262369886e-09
ENSG00000064655	173.718540324496	-5.64166065692957	1.74479130388368	-3.23343006373997	0.00122313279696642	0.00781202426856318
ENSG00000064763	1302.72859722235	-4.52742674854998	1.24550836457903	-3.63500308573215	0.000277977308491245	0.00228079005491777
ENSG00000065000	12732.6774181882	-1.72964360567077	0.436822689252325	-3.95960111099372	7.50750541278999e-05	0.000745979584601806
ENSG00000065308	7227.1335539338	-4.83377453597293	0.577787338654436	-8.3660097973589	5.96022434318098e-17	6.41459469245984e-15
ENSG00000065485	1786.25008495944	-3.51257835076498	0.480625745232379	-7.30834414429189	2.70454396152041e-13	1.76476817394643e-11
ENSG00000065911	5094.03009772058	-3.02739307513112	0.414637564966706	-7.30129957080519	2.85001391193773e-13	1.84516135064281e-11
ENSG00000065989	1400.08427943946	-3.69538343727051	0.692648307458444	-5.33515118347737	9.5464982554524e-08	2.19146346379319e-06
ENSG00000066032	8.12103688784092	-17.9322667817318	5.18535890270281	-3.45824987589284	0.000543696860903826	0.00397320624895062
ENSG00000066279	5524.07458874454	-3.6717247096327	0.824075218942419	-4.4555698621114	8.3670642531248e-06	0.000114418913309646
ENSG00000066455	3241.5392194429	-1.99588599775848	0.596315144565137	-3.34703221266329	0.000816817180851129	0.0055826507032687
ENSG00000066583	1762.1974245395	-1.93747385435935	0.555462706040669	-3.4880358902394	0.000486582759157134	0.00362617924922227
ENSG00000066855	691.021440582567	-1.67692607107457	0.507815266216525	-3.30223642855108	0.000959171848181686	0.00638959574427784
ENSG00000067167	21737.7462681966	-2.04105147739377	0.401613045985948	-5.08213440224046	3.73217174070642e-07	7.37270732186749e-06
ENSG00000068137	187.136645513124	-3.92100724698289	0.759297713959995	-5.16399190316735	2.4173815740539e-07	5.02706175763731e-06
ENSG00000068438	3165.75019668578	-1.63863544605435	0.497425396738884	-3.29423358115052	0.000986904503659515	0.00654187977950643
ENSG00000068489	1505.22134242319	-3.04584269725765	0.57821685182508	-5.26764774780218	1.38182935881654e-07	3.03847450758174e-06
ENSG00000068912	4869.37718495701	-3.00794796819894	0.493388209364199	-6.09651368052575	1.08406676152176e-09	3.6668005113187e-08
ENSG00000069702	2608.91592249409	-3.61382878407417	1.06001391116767	-3.40922769597742	0.000651470798450888	0.00465408491962285
ENSG00000070081	15994.4299134634	-4.06702478843903	0.518387995335133	-7.845522707002	4.31153818554982e-15	3.64588948404606e-13
ENSG00000070214	5234.95381645049	-3.80815731036055	0.582337870544023	-6.53942926089101	6.17540421296959e-11	2.69345130067784e-09
ENSG00000070388	7.78250763637277	-3.39872383413544	1.00332707220243	-3.38745353165327	0.000705446662272016	0.00495795276071142
ENSG00000070540	993.854320626047	-4.04365950214907	0.528794798678975	-7.64693509136409	2.05826154471506e-14	1.59409471224801e-12
ENSG00000070601	30.7316107956308	-4.59488770656176	1.0035632107413	-4.57857328505261	4.68158144336438e-06	6.94651126609858e-05
ENSG00000070614	1912.58777615444	-2.64185442186475	0.70447020410286	-3.75012939721011	0.000176743342742092	0.00156231688672397
ENSG00000070669	3585.56886129122	-1.94806309252537	0.520830842703287	-3.74029902379489	0.000183801461540489	0.00161351982180724
ENSG00000070882	5670.60640162842	-2.98901925757866	0.672469617567383	-4.44483911167801	8.79576663448158e-06	0.000119297083633304
ENSG00000071205	337.057618472114	-6.12814376864979	1.35152549772682	-4.53424206865275	5.7810698650029e-06	8.33177842978766e-05
ENSG00000071282	237.241946633828	-6.3236113491363	1.82505652628956	-3.46488520111349	0.000530457863220056	0.00389362649468964
ENSG00000071537	15663.1855048712	-3.69107513592566	0.4421146056572	-8.34868400341334	6.90277429937188e-17	7.38106975727675e-15
ENSG00000071553	5666.27633271781	-1.86152496060295	0.573409599606148	-3.24641401518489	0.00116868745411871	0.0075105955271669
ENSG00000072506	3701.74624437674	-1.22273047086945	0.361557267443448	-3.38184454018948	0.00072000878775313	0.00503945339874172
ENSG00000072571	1904.27900995038	-3.80093133230311	0.53696697365227	-7.07851975783621	1.45702354706152e-12	8.53311246254333e-11
ENSG00000072682	246.291741575246	-4.69512399594923	1.45054132155072	-3.23680816685033	0.00120874637382862	0.00773803105439768
ENSG00000072778	12410.8206604388	-2.45851428292773	0.500263197337785	-4.91444162994806	8.90358460438666e-07	1.59705639862667e-05
ENSG00000072840	1075.17900767127	-7.17213112489111	1.52613839703988	-4.69952865271083	2.60762636350046e-06	4.11999993790816e-05
ENSG00000072849	6662.94084888161	-1.15872382141984	0.337562237081873	-3.43262277035687	0.000597773173869205	0.00432830606540332
ENSG00000073737	884.344759197537	-6.45707499001092	1.45775805993988	-4.42945586613818	9.44711427654683e-06	0.000127194534540607
ENSG00000073803	2232.05798196773	-2.2667877592106	0.55060136457612	-4.11693087785149	3.83951163767139e-05	0.000422550238265376
ENSG00000073849	61626.5507406796	-2.33510338335104	0.642820904352521	-3.63258781340202	0.000280593041205706	0.00229787117373325
ENSG00000074416	1839.60009918583	-7.26541023530289	1.03784347744256	-7.00048744653311	2.55073488840048e-12	1.43308067933388e-10
ENSG00000074660	233.163182639259	-3.72195910015383	0.683074635771976	-5.44883224356217	5.07016068492218e-08	1.24308939632989e-06
ENSG00000074695	9642.19780183451	-3.49733390039013	0.35920157150934	-9.73641035503986	2.10871935117392e-22	4.42403981346286e-20
ENSG00000074706	592.475130008444	-4.31319256131342	1.08732339945064	-3.96679825293249	7.28446031381901e-05	0.000726429875097691
