baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000938	12721.0287463629	4.48207628750302	0.921067532869727	4.86617552736705	1.13778476279228e-06	1.99551795328246e-05
ENSG00000002587	1094.11915045718	5.87379113539315	0.964880839778278	6.08758189948399	1.14628742803963e-09	3.84586393366981e-08
ENSG00000002745	451.289393769431	5.32000138422624	1.01096739828194	5.26228777828755	1.42273842877051e-07	3.11910935429134e-06
ENSG00000003249	1239.30595467664	4.49009667208827	1.03986273479865	4.3179705569098	1.57470430230308e-05	0.00019506090512983
ENSG00000004799	397.281501817501	7.61995028556054	1.40423371100281	5.42641173321417	5.7498238914025e-08	1.38312889950806e-06
ENSG00000005187	4751.38509850759	3.37576476826538	0.801837465114677	4.21003621698144	2.55329754688987e-05	0.000296554684948513
ENSG00000005421	9.9956347306642	15.9697610749959	3.98302304707363	4.00945736096834	6.08584407471104e-05	0.000625336513913582
ENSG00000005471	4938.32880612459	3.48333492875536	0.676204583135224	5.15130334166751	2.58682387350027e-07	5.34831295459156e-06
ENSG00000006116	7.94451974079946	5.97187288536806	1.84537281923454	3.23613354609027	0.00121160684890219	0.00775334822922967
ENSG00000006638	431.558430316442	5.42835869273028	0.85690936759502	6.33481077230532	2.37632736582085e-10	9.3109337496725e-09
ENSG00000007237	1175.8300059357	4.14616994047709	1.26915224643002	3.26688145739788	0.00108739202572079	0.00708429065813539
ENSG00000007264	240.366806119967	5.27328443834645	1.53558431266771	3.43405724768402	0.000594618599458132	0.00430922985020511
ENSG00000007944	7452.39587581827	2.1138072858593	0.523878732926202	4.03491715354109	5.46215667703385e-05	0.000572610909330544
ENSG00000008083	8240.52805938314	2.19440629752911	0.441401077661561	4.97145659261767	6.6451743628025e-07	1.23195883544842e-05
ENSG00000008256	612.85464576988	3.59293394384541	0.755015463727109	4.75875543807939	1.94790273512827e-06	3.20601190983276e-05
ENSG00000008282	18045.4699291739	2.22524423208762	0.416852201967663	5.33820913403797	9.38691472612127e-08	2.16081562042686e-06
ENSG00000008441	190.711639842007	3.35409489660114	0.841562613446699	3.985555968158	6.7322305712938e-05	0.000680780899869575
ENSG00000008513	13646.4899974015	2.11880927335873	0.452430300211515	4.68317279450152	2.8246819959128e-06	4.41663013209987e-05
ENSG00000009780	3267.51482869843	1.66696527526565	0.382709147171269	4.35569749922819	1.32643855828929e-05	0.000169240898114601
ENSG00000009790	13002.0324539379	1.92025220956891	0.460081613156742	4.17372082399371	2.99664928594849e-05	0.000340181268940481
ENSG00000010810	4608.17970204056	2.35589929990685	0.715133983958627	3.29434672767998	0.000986507290198858	0.00654187977950643
ENSG00000010932	182.041767996201	4.11950685770635	1.29590767669907	3.17885828734308	0.00147856359436517	0.00914733595110427
ENSG00000011600	982.936238814731	5.42316284556863	1.62635476266776	3.33455096640345	0.000854372419297347	0.00579046086333652
ENSG00000012660	23532.8767447399	1.46843187172306	0.299750783250805	4.89884248440616	9.64028864754924e-07	1.71619918415125e-05
ENSG00000012779	30070.757096669	3.07205095892471	0.491161533143042	6.25466522035233	3.98369527293276e-10	1.48813310800406e-08
ENSG00000013374	9331.34766451724	2.00040777726812	0.373479100161817	5.3561438281323	8.50168423729339e-08	1.97348619816388e-06
ENSG00000015479	69776.7926884235	1.17337281206506	0.364831812846918	3.21620201623537	0.0012989935636263	0.00820172164706376
ENSG00000020577	1242.51558158701	2.94744026732228	0.867626786228344	3.39712917363361	0.000680968137477604	0.00481294921558798
ENSG00000021355	24844.7483437475	1.12343790093457	0.229440968083412	4.89641370640552	9.76014784727154e-07	1.7319560002214e-05
ENSG00000023445	40466.3107650877	2.95303843491284	0.655512771114509	4.5049289122042	6.63951651898117e-06	9.36241795717175e-05
ENSG00000023902	9818.65492383772	2.92334952297557	0.478203240295745	6.11319471856282	9.76560920757882e-10	3.36362680221978e-08
ENSG00000025293	12913.8475701242	1.96062335839874	0.333523454442605	5.8785171845722	4.13957839614211e-09	1.24744313341199e-07
ENSG00000026297	14393.0413329966	1.56818981017399	0.442182212356425	3.54647872834365	0.000390416260002637	0.00301807793530024
ENSG00000026508	43181.3375070806	2.22611701156985	0.425304657755056	5.23417030822156	1.65727594302173e-07	3.5442182554377e-06
ENSG00000026559	598.710591623588	6.19673325884713	1.44106979549955	4.30009238844604	1.70726919422812e-05	0.000209137321693547
ENSG00000027697	5893.1194193587	2.68837943803158	0.446837582658493	6.01645775191262	1.78274997754117e-09	5.81639726924556e-08
ENSG00000029363	44413.0560857325	1.86198028120224	0.500167693309401	3.72271201460912	0.000197094284660979	0.0017049272828659
ENSG00000030066	9417.89057761713	1.1374382573656	0.3233510066884	3.51765800581441	0.000435373068956537	0.00330851593071327
ENSG00000035403	6565.32618058422	2.6461653441378	0.376924025289929	7.02042100421264	2.21200698418174e-12	1.25489518704776e-10
ENSG00000035720	10294.298193549	1.34059432407479	0.412679018778093	3.24851582725038	0.00116008754756664	0.00746981002850406
ENSG00000039523	15240.9385922542	2.7412314375884	0.657281302780466	4.17056049821028	3.03851374399553e-05	0.000344697650875989
ENSG00000039560	21.8738622823389	20.6238740486408	1.94387271742839	10.6096833726463	2.68657932634168e-26	9.89497016773044e-24
ENSG00000042493	9169.666321295	1.913563968964	0.519675283386365	3.68223009663769	0.00023120258971434	0.00194416627190536
ENSG00000046651	10413.6038208147	2.45328591707525	0.335146955702036	7.32003043839775	2.47914715990779e-13	1.63702729196461e-11
ENSG00000047249	3783.21335293879	1.1265131222537	0.318564018026961	3.53622210452646	0.000405893287853894	0.00311447933004187
ENSG00000047365	10901.2903418961	4.57818460024274	0.512347680700709	8.93569888709444	4.04612487184543e-19	5.73166441247574e-17
ENSG00000047634	812.899184024399	5.14032099129455	1.49950912952111	3.42800246433724	0.000608039940292291	0.0043873112626924
ENSG00000048740	25915.0359489561	3.81333490655957	0.253574213540798	15.0383386911147	4.11754156528225e-51	1.13740223171647e-47
ENSG00000049192	2808.37894320744	4.28341801204245	0.696619074141144	6.1488669648092	7.80383980486808e-10	2.73447866650917e-08
ENSG00000051620	6092.35665326061	1.56584000835545	0.349067498799524	4.48578001028605	7.26476688751134e-06	0.000101135922380073
ENSG00000052749	8548.80496749442	2.50240594286999	0.747887722205779	3.34596473316814	0.000819968240061616	0.00559956885487483
ENSG00000054267	31833.8573128982	2.03392429035626	0.396941234165152	5.1239934662722	2.99131352360063e-07	6.09066711795538e-06
ENSG00000054277	2153.76504084528	2.26394539403162	0.597075580771212	3.79172330428821	0.000149605544026468	0.00135244380200091
ENSG00000055044	23072.974822307	1.50858646421523	0.439430116176534	3.43305205692634	0.000596827495666486	0.00432334742708756
ENSG00000055070	12952.1647394394	1.29480636722256	0.40677135909589	3.18313061691575	0.00145691875076865	0.00904719796749329
ENSG00000055163	49158.1026137341	1.07433025233248	0.264515980272618	4.06149470147415	4.87595251207441e-05	0.00051803869830206
ENSG00000055732	18.292311241852	14.9678553072927	1.92816913421571	7.76272944197963	8.31208104854322e-15	6.78642518712095e-13
ENSG00000056998	38.451792941422	15.7291612321417	2.57680115758132	6.10414241155715	1.03354103303691e-09	3.51743512968248e-08
ENSG00000057704	2061.20513711404	5.57142362876648	0.732171208349107	7.60945468113786	2.75254804805695e-14	2.07366960674982e-12
ENSG00000058272	18612.989406521	1.15965406299324	0.326862281639799	3.54783689685913	0.000388408664667552	0.00300676562737039
ENSG00000059378	7512.59056598741	2.0457781420381	0.442563984287089	4.62255903026898	3.79034902368149e-06	5.70941180073818e-05
ENSG00000060138	36805.2632014035	3.67772557541719	0.530989192029189	6.92617784057462	4.32362880087586e-12	2.29678922261912e-10
ENSG00000062194	23497.0199383858	1.16916256602408	0.315649233970505	3.70399304100109	0.000212232082408234	0.00181400811510081
ENSG00000063180	755.439923448286	3.06892849284903	0.714206552174764	4.29697611076813	1.73143846622946e-05	0.000211472816059595
ENSG00000064666	21088.7517609692	1.48461252096309	0.366836640458318	4.04706716076194	5.18633643446959e-05	0.000546808779038798
ENSG00000064703	4757.25075695221	2.11588564140211	0.59748975509474	3.5412919189997	0.000398172781926913	0.0030694491570496
ENSG00000065320	45.049411399924	3.67286044964852	1.06097300340025	3.46178501986155	0.000536605599095404	0.00392831325062156
ENSG00000065609	4.76292859776688	16.057227353751	3.52432835427474	4.55610991361655	5.21096759745988e-06	7.58933013710897e-05
ENSG00000065613	7647.75414215403	1.71246915951544	0.445305786285008	3.84560275715666	0.000120256453993599	0.0011153500103469
