baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000419	3699.17587665749	-2.00576489947954	0.519471325078462	-3.86116577113585	0.000112847303889144	0.000356499999960145
ENSG00000000971	601.531064207958	-11.5775969602969	2.31473167009703	-5.0017015405555	5.68265180232472e-07	2.6881967405507e-06
ENSG00000001497	6018.76679787506	-1.93657444503013	0.283587876420255	-6.82883369160772	8.56077461802525e-12	8.2191223279824e-11
ENSG00000001626	7.97156892264673	-21.5379187286063	7.38179370270397	-2.91770802545144	0.00352614355477287	0.00818100183445586
ENSG00000002016	1815.89339977933	-1.20364485948908	0.398938696131976	-3.01711734449268	0.00255191004596586	0.00610622272365708
ENSG00000002586	30738.2392044664	-5.24190294060418	0.529505749384648	-9.89961477603583	4.17881543649366e-23	1.62607914957385e-21
ENSG00000003096	311.202832927963	-9.06976647548862	1.2540256057154	-7.23252095822597	4.74109445167104e-13	5.36163388322565e-12
ENSG00000003147	968.868780212807	-4.32541627150323	0.808829776099926	-5.34774608862675	8.90562803823119e-08	4.77756088399211e-07
ENSG00000003436	6003.06855504954	-15.1547409781894	1.45656510871473	-10.4044377333478	2.36648991477732e-25	1.15506594453062e-23
ENSG00000003509	2497.86276320462	-1.2011722405597	0.39149478004212	-3.06816923697033	0.00215374607517904	0.00523872443001925
ENSG00000004809	269.140057405693	-10.3771568772921	2.57586819533263	-4.02860553816188	5.6108671535848e-05	0.000188120556858726
ENSG00000004864	1858.49779019531	-1.9152759574594	0.62455780760666	-3.06661118335682	0.00216500274453656	0.00526231524895414
ENSG00000004939	142.163017434248	-8.28294993247632	2.39130750060146	-3.46377449591614	0.000532652834514457	0.00147297217443592
ENSG00000005020	7265.61068466307	-1.51612082916472	0.447596032758894	-3.38725260771336	0.000705963541870616	0.00190634990327966
ENSG00000005022	54567.3114939478	-5.40395616966342	0.514816893933969	-10.4968508868641	8.93099683106452e-26	4.51576869709633e-24
ENSG00000005075	2751.86656970754	-2.31570072956582	0.421070095802078	-5.49956112450766	3.80737707864073e-08	2.14633871948128e-07
ENSG00000005100	2227.87428636219	-1.53461656635594	0.449916401502427	-3.41089269302325	0.000647505689875671	0.00176295024593365
ENSG00000005108	107.513977230247	-8.85329504790001	3.07485656030573	-2.87925464953063	0.00398616324971287	0.00912419693157372
ENSG00000005187	4751.38509850759	-2.99608194232146	0.8780772767173	-3.4120936980881	0.000644659502276362	0.00175596930232955
ENSG00000005189	936.205906297493	-4.27176423300618	0.66425314521784	-6.43092812395381	1.26827126466694e-10	1.0131771578853e-09
ENSG00000005194	5073.43250036743	-3.47861730342571	0.35408403508364	-9.82427039559693	8.85126270885246e-23	3.30579865145203e-21
ENSG00000005381	15469.1590534346	-17.3993751363593	2.16302775278863	-8.04399070420045	8.69591199230889e-16	1.40264146825322e-14
ENSG00000005421	9.9956347306642	-19.6692401605994	4.30607499219581	-4.56778857689365	4.92896822188857e-06	1.99569444572655e-05
ENSG00000005436	2451.5281621988	-1.33074227395055	0.407001097277972	-3.26962822176787	0.00107688918518466	0.00280439546020024
ENSG00000005448	2791.15647764361	-4.13542913598253	0.563934476833359	-7.33317310054184	2.24766314850452e-13	2.632353346182e-12
ENSG00000005483	44362.4466271636	-1.49543691422365	0.422770064605122	-3.53723463277947	0.00040434028393912	0.00114706848902467
ENSG00000005486	5059.46733366014	-2.96200937849357	0.754095896319118	-3.92789483797974	8.56926638046782e-05	0.000277449713637539
ENSG00000005801	4504.94824382301	-2.47904355562051	0.389664111061941	-6.36200123451052	1.99141841589677e-10	1.54412645581564e-09
ENSG00000005893	10831.0849904221	-2.26653345404333	0.374909176937214	-6.045553412588	1.48898010356309e-09	1.03520683366141e-08
ENSG00000006007	4745.711330699	-1.32973743998472	0.414845107573755	-3.20538296272015	0.00134882888100242	0.00344249994595267
ENSG00000006016	39.4954583602871	-6.00303453381739	1.55622456908854	-3.8574346229049	0.000114583313241351	0.000361562592305669
