baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000938	12721.0287463629	-6.36622519311711	0.873986085794784	-7.28412648277782	3.23761158135002e-13	1.57117196511032e-11
ENSG00000001561	3127.34076145457	-2.02878323656658	0.615724993538183	-3.29495027464849	0.000984390971136604	0.00568161131939678
ENSG00000002587	1094.11915045718	-6.3527812192219	0.918215092839673	-6.91861990590383	4.56064685473094e-12	1.82080860715594e-10
ENSG00000002745	451.289393769431	-6.21819512606292	0.968443378245471	-6.42081433540124	1.35547267124687e-10	4.20794530735608e-09
ENSG00000002933	55.6205829765528	-7.1077863159026	1.87023129109705	-3.80048518583671	0.000144413051832223	0.00111261296502855
ENSG00000004399	3556.28696516608	-2.3086068722112	0.66988119842552	-3.44629298096039	0.000568333828193322	0.00358938731882155
ENSG00000004799	397.281501817501	-8.20313849957823	1.34635961148727	-6.09282871350885	1.10932741558467e-09	2.86896192869737e-08
ENSG00000004939	142.163017434248	-9.14227178840376	2.15173096670131	-4.24879872525106	2.14919910659793e-05	0.000210166036550237
ENSG00000005059	5899.27494700638	-2.30508241092163	0.473799612539524	-4.86509982261614	1.14399054415504e-06	1.5567858428437e-05
ENSG00000005187	4751.38509850759	-4.86236881169902	0.76086328827093	-6.39059458729939	1.65241951758667e-10	5.01907568579203e-09
ENSG00000005339	30742.7012094319	-1.74645390753136	0.378713682944222	-4.61154161094461	3.99693624929102e-06	4.65840299365263e-05
ENSG00000005381	15469.1590534346	-6.57115092031013	1.94798547176657	-3.37330591811393	0.000742713851561886	0.00447802624961697
ENSG00000005483	44362.4466271636	-1.75603704117053	0.366137179936172	-4.79611778699081	1.61770180225831e-06	2.10963305301455e-05
ENSG00000005486	5059.46733366014	-2.54304278308797	0.653213311386028	-3.89312761813133	9.89600591959392e-05	0.000803479557548568
ENSG00000006125	15128.3517685906	-1.17603023950842	0.361364718278265	-3.25441356065876	0.00113626733280181	0.00640283040252149
ENSG00000006638	431.558430316442	-7.05886200930745	0.822104032749279	-8.58633667773312	8.97863002339492e-18	7.81603628015946e-16
ENSG00000006740	6530.52944163105	-2.64663418324274	0.712006396322227	-3.71714944825436	0.000201483268509101	0.0014819901735983
ENSG00000007314	614.253293266257	-2.39093079004453	0.730238981876724	-3.27417578270035	0.00105970667591435	0.00603586048662446
ENSG00000007516	10336.669576495	-5.48176944153951	0.883981726782997	-6.2012248392157	5.60254057357121e-10	1.51627732702677e-08
ENSG00000007952	57.5824233090836	-3.52463368337414	0.921048440220257	-3.82676255608366	0.000129839648850861	0.00101094144296604
ENSG00000008282	18045.4699291739	-2.24910000728698	0.395498156907862	-5.68675218330018	1.29478132043077e-08	2.62175816204031e-07
ENSG00000008300	2291.54344886563	-3.04861180110909	0.696785387396608	-4.37525220283334	1.21292159209538e-05	0.000126551667067618
ENSG00000008394	616.423484165827	-5.62333816281036	1.65709973532018	-3.39348202341233	0.000690100877933798	0.00421955960410789
ENSG00000008513	13646.4899974015	-1.96881079877521	0.429231935089132	-4.58682273574631	4.50042481500062e-06	5.1879299846915e-05
ENSG00000008735	71.3230289952319	-2.24168955355322	0.713586234369069	-3.14144170050485	0.00168118275493365	0.00888910906866609
ENSG00000008853	12103.7395195382	-2.65182222454266	0.751684479020024	-3.52783953714178	0.000418966050805065	0.00277253082523352
ENSG00000009765	4.17300120379719	-26.2203034993653	4.72165493905448	-5.55320196791339	2.80483684995696e-08	5.28661659844566e-07
ENSG00000009790	13002.0324539379	-1.81607192160055	0.436487098840415	-4.1606542929337	3.17337140278544e-05	0.000296087824586964
ENSG00000010327	204.168778436845	-5.55052066103839	1.46211222729648	-3.79623435015081	0.000146910629097049	0.00112876556150635
ENSG00000010803	4572.76849810255	-1.15336794888122	0.342515923394418	-3.36734110768064	0.000758967481547622	0.00455326565839298
ENSG00000010932	182.041767996201	-7.29014853777759	1.24642761553591	-5.84883425793092	4.95030038601124e-09	1.10000885419681e-07
ENSG00000011021	6628.25396784473	-1.87392729704125	0.559720448385394	-3.34797004906092	0.000814058086124212	0.00483397080114828
ENSG00000011028	430.146803965579	-3.01546512724842	0.877458489451102	-3.43659006494399	0.000589086459426897	0.00369832421070685
ENSG00000011523	5284.23066198988	-1.95303384546144	0.559066451041109	-3.49338409025339	0.000476939981585454	0.00309314992665713
ENSG00000011590	4444.54066985894	-4.43175189286704	0.579745179286771	-7.64431003690136	2.10068688758476e-14	1.17655512654066e-12
ENSG00000011600	982.936238814731	-10.2171489077452	1.56566150898562	-6.52577127885373	6.76524906364518e-11	2.22279233826536e-09
ENSG00000012660	23532.8767447399	-1.63431409703512	0.284375487466427	-5.74702873160987	9.08253010714367e-09	1.89131650369226e-07
ENSG00000012779	30070.757096669	-4.31821216265312	0.465992538460548	-9.26669808258896	1.91997554547943e-20	2.34960485594613e-18
ENSG00000013374	9331.34766451724	-1.43506246972116	0.354358009671457	-4.04975316079825	5.12716851848633e-05	0.000451918694886206
ENSG00000013725	4242.83932681549	-4.98339170630202	0.952570627478373	-5.23151938822002	1.68122397553457e-07	2.73267666013743e-06
ENSG00000018236	17.2224577115303	-14.8711176824998	3.57833827639002	-4.1558725122831	3.24048491303494e-05	0.000301516855158865
ENSG00000018280	445.567699118385	-4.48655719179611	1.24728082231133	-3.59707061276073	0.00032182114049591	0.00221201278823563
ENSG00000019144	104.868915994229	-3.51922652403868	0.770405000887282	-4.56802139132737	4.92349795331981e-06	5.63064523064973e-05
ENSG00000019582	805062.104457712	-1.57029782811701	0.505560417559834	-3.10605374466676	0.00189602251457368	0.00982812407186015
ENSG00000020633	12613.8454695094	-2.03365102773076	0.512297780067382	-3.96966589912467	7.19734803813304e-05	0.000607136931408546
ENSG00000021300	918.018657008414	-2.47314873020706	0.788754028745049	-3.13551327800122	0.00171553662126268	0.00904399552635892
ENSG00000021355	24844.7483437475	-1.25692142996406	0.217680498511824	-5.77415725596469	7.73391823769174e-09	1.63672194483882e-07
ENSG00000023041	5756.89130358719	-1.05016564907934	0.280957146347003	-3.73781433479648	0.000185626940397618	0.00138099901737223
ENSG00000023171	2415.12478131326	-2.7270616928142	0.857622750767448	-3.17979168623253	0.00147380958691579	0.00795197964978716
ENSG00000023902	9818.65492383772	-2.43645995323727	0.453713551306381	-5.37004007533378	7.87191470101966e-08	1.37052469557546e-06
ENSG00000026025	49654.1689684171	-1.74193228211504	0.493635243016476	-3.5287842729189	0.000417473298036667	0.0027648192381346
ENSG00000026297	14393.0413329966	-1.8026295305999	0.419498998502353	-4.29710091570049	1.73046426672882e-05	0.000173436679741936
ENSG00000026508	43181.3375070806	-1.97686727994597	0.403487690053965	-4.89944880271705	9.61058884294172e-07	1.32709423041373e-05
ENSG00000028137	7934.93447295859	-3.96183035866536	0.872455371135287	-4.54101205602071	5.59848297695023e-06	6.31577692149201e-05
ENSG00000033327	14911.3994188928	-3.38958099196364	0.582795626605714	-5.81607142748315	6.02467310577874e-09	1.30591837436374e-07
ENSG00000035403	6565.32618058422	-2.30415903724522	0.357713251827678	-6.44135777881444	1.18409374322939e-10	3.71690987651634e-09
ENSG00000035862	3324.7855947124	-3.93456989282862	0.750902985572948	-5.23978459058396	1.60764143221037e-07	2.63013931547856e-06
ENSG00000036565	40.8760118599521	-12.4607327263437	2.84537736663837	-4.37929002755275	1.1906658209441e-05	0.000124507519406216
ENSG00000038427	1161.40746104752	-7.15645457287279	1.80125357602049	-3.97304114653505	7.09607853095956e-05	0.000600093010670231
ENSG00000039523	15240.9385922542	-3.90086104180676	0.623582615686418	-6.25556412844003	3.96081542367967e-10	1.11483751458504e-08
ENSG00000039560	21.8738622823389	-16.0689304686284	1.89991721252296	-8.45770034752721	2.72701767329082e-17	2.22482485345581e-15
ENSG00000041353	220.23621859728	-7.11857621011848	1.53881091486574	-4.62602399121893	3.72752140423216e-06	4.37459218031082e-05
ENSG00000042493	9169.666321295	-2.47227832400839	0.493051159629355	-5.01424299633915	5.3242665247825e-07	7.87357382403913e-06
ENSG00000043462	3598.12789841132	-2.08070718445485	0.658824711426121	-3.15821059588196	0.00158740836662832	0.00848627809294687
ENSG00000046651	10413.6038208147	-1.93410285341899	0.317995867341001	-6.08216348719075	1.18571571668875e-09	3.0524949730853e-08
ENSG00000047365	10901.2903418961	-2.91179458255428	0.486155117277385	-5.98943522154247	2.10570979414218e-09	5.15940395505926e-08
ENSG00000047648	294.546766104882	-3.58441118032075	0.98896391719337	-3.62441047444191	0.00028962131866267	0.00202112596263437
ENSG00000048540	41.8727315704457	-19.5050399813992	2.58856627274028	-7.53507460357622	4.8805571393701e-14	2.65025237844637e-12
ENSG00000048740	25915.0359489561	-4.01188905140444	0.240657400915058	-16.6705409272681	2.1464328966281e-62	6.04149312637589e-59
ENSG00000049089	8072.05864009685	-4.71301001193887	0.498578798813403	-9.45288893782817	3.29605592931341e-21	4.38297579009802e-19
ENSG00000049192	2808.37894320744	-5.94389893479439	0.661656584355468	-8.98335945766254	2.62622837969263e-19	2.8070724605221e-17
ENSG00000049247	97.6822646021957	-9.32585289279235	2.83878142172767	-3.28516060497419	0.00101924255114398	0.00584481093504906
ENSG00000049618	27203.2304070522	-1.07756797501522	0.310685228588794	-3.46835921330984	0.000523646822836378	0.00335356372546862
ENSG00000051128	563.78659337772	-5.76538284336964	1.0835651075441	-5.32075350454656	1.03338340577047e-07	1.74343446120396e-06
ENSG00000051620	6092.35665326061	-1.82629050215887	0.331176067440047	-5.51456062714883	3.49652362205431e-08	6.47470295276899e-07
ENSG00000054267	31833.8573128982	-1.41101634800513	0.376581158180062	-3.74691170111716	0.000179025068361506	0.00133896162732024
ENSG00000055118	2345.69649496237	-5.17679285102974	0.953145265996961	-5.43127373728807	5.59532275880608e-08	1.00099375795251e-06
ENSG00000055163	49158.1026137341	-1.65094693302346	0.250941791401798	-6.57900353624254	4.73611509639938e-11	1.6169419186344e-09
ENSG00000055208	16435.953300793	-1.52224255208032	0.324356085389804	-4.69312160507464	2.69067437881987e-06	3.29276151518188e-05
ENSG00000055732	18.292311241852	-20.0969750873301	1.75560921838559	-11.4472941226697	2.42600495406115e-30	8.71710035408186e-28
ENSG00000056998	38.451792941422	-13.9647614032716	2.45759945246222	-5.68227722759323	1.32912981716061e-08	2.66900646280719e-07
ENSG00000057704	2061.20513711404	-6.1512601038364	0.696204593586645	-8.83542016312602	9.97227324214835e-19	9.84864038090066e-17
