baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000419	3699.17587665749	-2.42314180930232	0.367185775766477	-6.59922570324017	4.133106816775e-11	1.9558006557822e-10
ENSG00000000457	2643.57064361347	-1.65255633258858	0.41500003118049	-3.98206315283348	6.83196195995921e-05	0.000160785485875292
ENSG00000000971	601.531064207958	-5.2039936246764	1.41084288242274	-3.68857063356337	0.000225517422553993	0.000493199656651546
ENSG00000001461	4301.69105366566	-1.06327747309901	0.319213058653479	-3.33093350749552	0.000865552747779271	0.0017504842993126
ENSG00000001626	7.97156892264673	-29.068346324614	5.18013374020368	-5.61150498857024	2.00574505239512e-08	7.21390856555617e-08
ENSG00000001630	4471.78388233033	-1.70263502578524	0.392048994690243	-4.34291389302116	1.406052535515e-05	3.62123069043743e-05
ENSG00000002016	1815.89339977933	-1.42351723874121	0.281806692947295	-5.0513961320551	4.38592414427879e-07	1.35246379376661e-06
ENSG00000002549	5735.82695477036	-2.67800009265682	0.275206556233742	-9.73087316416368	2.22673258953868e-22	2.67347372075928e-21
ENSG00000002586	30738.2392044664	-4.49279547786035	0.374314881037064	-12.0027167111625	3.43822275203968e-33	9.08417414103225e-32
ENSG00000003056	8617.98125971372	-1.09397087296761	0.296683594778049	-3.68733186540368	0.000226617730387167	0.000495354833696921
ENSG00000003096	311.202832927963	-8.8935271156384	0.837168896720628	-10.6233367609287	2.32112792315608e-26	3.74265608020672e-25
ENSG00000003147	968.868780212807	-6.91987215519371	0.572796255807774	-12.0808613621873	1.33315776316261e-33	3.61082745492063e-32
ENSG00000003393	2598.92472092533	-2.24737676949608	0.346541077794548	-6.48516702204194	8.86335419545316e-11	4.06052708269127e-10
ENSG00000003400	3287.19091240044	-5.01605936227546	0.530422455553984	-9.4567251249508	3.17738661699098e-21	3.46958552550287e-20
ENSG00000003436	6003.06855504954	-12.052860345731	0.763414890559958	-15.7880865238171	3.75807862009019e-56	3.72632933519632e-54
ENSG00000003509	2497.86276320462	-1.52295610035506	0.276650339267413	-5.50498547873805	3.69198699785819e-08	1.28786598613116e-07
ENSG00000003987	17.3815029470716	-4.75523946005183	1.61959873795743	-2.93606024048213	0.00332409762995722	0.00615680691461641
ENSG00000004455	7902.05971858513	-1.07005418380445	0.341746949391089	-3.13113017017716	0.00174134957614394	0.00337188599744236
ENSG00000004468	12568.2146926711	-4.47385181399768	0.741326784764926	-6.03492536077235	1.5903617896074e-09	6.41686434894679e-09
ENSG00000004779	2303.1328876564	-2.38280724307312	0.342563783601276	-6.9558060633945	3.50551830499892e-12	1.82886928685051e-11
ENSG00000004809	269.140057405693	-8.28023454602688	1.67769681414077	-4.93547730211767	7.99549793952971e-07	2.3911652964241e-06
ENSG00000004846	16.443762840169	-7.31645378937024	2.02031237507257	-3.62144680181323	0.000292960052543981	0.000630229399818117
ENSG00000004866	2004.58915162417	-2.85647011583529	0.437421890245578	-6.53024043728495	6.56641926374398e-11	3.04707992354424e-10
ENSG00000005022	54567.3114939478	-5.2372272998337	0.363961618925848	-14.3895043529321	6.0225971109968e-47	3.73769309194345e-45
ENSG00000005075	2751.86656970754	-1.88020647047618	0.297368273516973	-6.32282135628992	2.56830163512195e-10	1.1240717430431e-09
ENSG00000005100	2227.87428636219	-2.16421857294834	0.317964061224257	-6.80648801822272	1.00010055525529e-11	5.01445361226954e-11
ENSG00000005108	107.513977230247	-6.44962083919815	2.02761439601814	-3.1808912246155	0.0014682274652062	0.00287235836911243
ENSG00000005175	4026.38096798533	-1.17058957172519	0.364696340501873	-3.20976506129537	0.00132843502715686	0.00261429103724618
ENSG00000005189	936.205906297493	-6.2703681350611	0.469303201992513	-13.3610171599919	1.0215856109371e-40	4.57803027155787e-39
ENSG00000005194	5073.43250036743	-3.55948947786584	0.25003734873574	-14.2358311502807	5.49062222912666e-46	3.27784447471011e-44
ENSG00000005249	517.6457001453	-3.8520388386619	0.634234619244052	-6.07352345927311	1.25133708910429e-09	5.11110767005593e-09
ENSG00000005381	15469.1590534346	-10.8282242160492	1.33114511103546	-8.13451826272056	4.13579628819224e-16	3.01202589110092e-15
ENSG00000005421	9.9956347306642	-25.7655949240517	2.97877023116494	-8.64974231798176	5.16158457311684e-18	4.35679151859025e-17
ENSG00000005436	2451.5281621988	-1.00721262009698	0.287490171307867	-3.50346801601914	0.000459241802333873	0.000962850749260701
ENSG00000005448	2791.15647764361	-3.72617495216932	0.398096489754378	-9.35997942224593	7.97522231375721e-21	8.42083908073765e-20
ENSG00000005801	4504.94824382301	-2.52536701953615	0.275313806002158	-9.17268572981172	4.61377986756782e-20	4.61725893591344e-19
ENSG00000005893	10831.0849904221	-3.03270184783705	0.265045587271278	-11.4421895458046	2.57308578260814e-30	5.44704895795561e-29
ENSG00000006007	4745.711330699	-1.82613765895193	0.293254074377784	-6.22715187445073	4.74990630975868e-10	2.02046680380341e-09
ENSG00000006016	39.4954583602871	-4.87457471577392	0.963134620630115	-5.06115615757308	4.16721721985733e-07	1.28870763029572e-06
ENSG00000006283	14.691386788806	-5.40108650858793	1.26691703692876	-4.26317300277307	2.01544355030259e-05	5.08369116569746e-05
ENSG00000006468	38.6949859802987	-4.94931437911133	1.50903746246596	-3.27978231304048	0.00103887212122414	0.00207545862754516
ENSG00000006530	2775.28929558795	-2.96863390224652	0.401363358583511	-7.39637497733577	1.39952446224341e-13	8.27200943716532e-13
ENSG00000006625	3209.66067196935	-5.15664073805139	0.404856298686569	-12.7369655721808	3.68448514240394e-37	1.28681016522055e-35
ENSG00000006652	9802.30859602179	-2.04841616084399	0.468305334300068	-4.37410383955068	1.21932332621942e-05	3.16488421051056e-05
ENSG00000006695	1703.8926433569	-1.19270919504697	0.27511863675848	-4.33525408928957	1.45591852089848e-05	3.74016709962203e-05
ENSG00000006757	817.212024250168	-2.84864447411999	0.542597546070933	-5.25001355930863	1.52088014885803e-07	4.97530246648609e-07
ENSG00000007038	364.383689147905	-7.5197392090636	1.21813507515043	-6.17315711735416	6.69396300910502e-10	2.80999863250825e-09
ENSG00000007062	2855.25392812124	-9.42336974060122	0.71773511297519	-13.1293141024396	2.23673244860698e-39	9.18817736567055e-38
ENSG00000007237	1175.8300059357	-2.98324899699969	0.981240549677103	-3.04028303557307	0.00236355916766408	0.00447426885228313
ENSG00000007255	2979.52173937668	-2.37741133950651	0.380496200268625	-6.24818680929821	4.15244856398921e-10	1.77684015561771e-09
ENSG00000007372	44.4747635261121	-10.1095277682342	1.15081656399083	-8.78465611684981	1.56843611124648e-18	1.3786996987592e-17
