baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	16.6776046078558	-3.42706353264879	0.978620489219732	-3.50193315018495	0.000461895495501237	0.00170571125511191
ENSG00000000460	2051.36222597499	-1.55028536378754	0.274397997991362	-5.64976922257407	1.60663379927665e-08	1.36012036010403e-07
ENSG00000001617	34.7956881674997	-3.43422064998613	0.717714271250691	-4.78494128868532	1.71037321345355e-06	1.04382982142604e-05
ENSG00000002016	1815.89339977933	-1.03335249698837	0.22996458807462	-4.49352878910671	7.00525459355206e-06	3.81990067960031e-05
ENSG00000002549	5735.82695477036	-1.14515223321907	0.224726340082983	-5.09576328612041	3.47338918213114e-07	2.40368185587638e-06
ENSG00000003147	968.868780212807	-3.35055988431451	0.469608329161372	-7.1347965448099	9.69304259211155e-13	1.41364381945647e-11
ENSG00000004468	12568.2146926711	-6.35047839641897	0.605326965905443	-10.4909887616191	9.50286750782723e-26	3.92231993092208e-24
ENSG00000004487	7834.84634057076	-1.34187736460725	0.125212467534114	-10.7168031349726	8.48867893157758e-27	3.80403058718203e-25
ENSG00000004534	28444.9976977364	-1.4870221586446	0.189882586378536	-7.8312718770334	4.82959013307486e-15	8.80813092663219e-14
ENSG00000004777	2481.69068728345	-2.68498131125163	0.584165005237014	-4.59627209295471	4.30116953663071e-06	2.4418584407861e-05
ENSG00000005001	4.23937137574868	-5.95919239535889	1.52821022279528	-3.89945853421843	9.64080456118982e-05	0.000413660286232798
ENSG00000005022	54567.3114939478	-1.73686885337806	0.297185972833628	-5.8443836928683	5.08447132931571e-09	4.58559246443721e-08
ENSG00000005100	2227.87428636219	-1.06261228917355	0.259613752543134	-4.09305084481993	4.25734319898078e-05	0.000196869317105375
ENSG00000005175	4026.38096798533	-1.15397116401246	0.297698420090846	-3.87630933231125	0.000106052843061313	0.00045156211780277
ENSG00000005189	936.205906297493	-5.41471911199968	0.384170318183304	-14.0945795542072	4.10082906266544e-45	5.12692781291065e-43
ENSG00000005206	9027.63439444311	-1.35405017862533	0.336400792430855	-4.02510995542214	5.69486996769585e-05	0.000255935377839689
ENSG00000005243	67.518903222398	-1.78279967322645	0.402919602640167	-4.42470324487688	9.65749446697959e-06	5.10167642494791e-05
ENSG00000005249	517.6457001453	-4.4840262134828	0.517961945067843	-8.65705725329971	4.84099577421526e-18	1.16977170997949e-16
ENSG00000005379	4595.49383094514	-2.05959503181591	0.590090668889578	-3.49030266093111	0.000482473793147463	0.00177184341276568
