baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000460	2051.36222597499	-1.62746588141983	0.316223217725224	-5.14657302245903	2.65288223181185e-07	2.37890733604209e-06
ENSG00000001617	34.7956881674997	-2.76702985384023	0.820264153842463	-3.37333996722677	0.000742622005487911	0.00312956948233584
ENSG00000002016	1815.89339977933	-1.18045589440827	0.265014463007432	-4.45430744047795	8.4164426526076e-06	5.68109879051013e-05
ENSG00000003147	968.868780212807	-2.13159472487686	0.538152718464278	-3.9609476115995	7.4652911647055e-05	0.000407719748226223
ENSG00000004468	12568.2146926711	-3.92123045844397	0.697386136519718	-5.62275366988615	1.87937299189866e-08	2.02149764521369e-07
ENSG00000004487	7834.84634057076	-1.3530170913484	0.144290619880846	-9.37702736647547	6.78588945515569e-21	2.9490415811033e-19
ENSG00000004534	28444.9976977364	-1.65245795248307	0.218829373861655	-7.55135347381544	4.30757987116089e-14	9.76592319541904e-13
ENSG00000004777	2481.69068728345	-2.89019111958549	0.673225819572232	-4.29304853670336	1.76236460820198e-05	0.000111133320852737
ENSG00000004897	7531.74528652373	-1.18082242650155	0.28149331436203	-4.19485069895083	2.73051382361262e-05	0.000164525141434073
ENSG00000005022	54567.3114939478	-1.34726309606116	0.342482556046646	-3.93381523314042	8.36080625884924e-05	0.000451201095977247
ENSG00000005189	936.205906297493	-4.98349687287317	0.441828094673448	-11.2792666038053	1.66125120773004e-29	1.42594861129186e-27
ENSG00000005206	9027.63439444311	-1.20680734553838	0.387676675823132	-3.11292223855365	0.00185244819251344	0.00698432881674704
ENSG00000005243	67.518903222398	-1.9489905254399	0.464784309031448	-4.19332255321044	2.74898126910894e-05	0.000165543364174298
ENSG00000005249	517.6457001453	-4.69090479055191	0.597175935233965	-7.85514705764906	3.99303370145589e-15	9.91249071240553e-14
ENSG00000005379	4595.49383094514	-2.16181982939311	0.680047563470217	-3.17892445399194	0.00147822612818544	0.00573893685634189
ENSG00000005513	35.8219135430928	-4.45259768919171	1.16332332453368	-3.82748080029818	0.000129461478902775	0.000667343560056639
ENSG00000005844	18306.6791282131	-2.0665977932877	0.385159578426714	-5.36556250718017	8.06973268799921e-08	7.83054544803433e-07
ENSG00000006042	41.2828104630505	-4.25947207456848	1.26792592614843	-3.35940135517811	0.000781115324241758	0.00327101521581142
ENSG00000006047	35.9041117357833	-5.72337881810598	0.990894858288775	-5.77596984203749	7.65110780844201e-09	8.71892754419088e-08
ENSG00000006118	84.8031014196652	-3.50623587429391	0.788920755792847	-4.44434481986752	8.81601129940833e-06	5.92761663868635e-05
ENSG00000006453	684.346680152738	-5.2875551210393	1.03239151196149	-5.12165690997713	3.02862568301626e-07	2.68514280108323e-06
ENSG00000006831	3903.65518140048	-1.11771576993309	0.308901159866922	-3.61836054747937	0.000296475179310426	0.00139413635013431
ENSG00000007038	364.383689147905	-5.55722044243357	1.1560876688312	-4.80691957215659	1.53273615528566e-06	1.20256011310339e-05
ENSG00000007174	23.1916615018157	-17.6845288008379	4.49227066208473	-3.93665701180859	8.26245675848546e-05	0.000446543307606455
ENSG00000007312	43510.0081331606	-1.82072897534328	0.450997545681548	-4.03711504148386	5.41125371610712e-05	0.000305698625946287
ENSG00000007372	44.4747635261121	-7.99498462330603	1.10768715595403	-7.2177280203453	5.28633093938331e-13	1.05317630135312e-11
ENSG00000007968	2428.02161060607	-5.63769075401905	0.574551224256715	-9.81233790131145	9.9632997738018e-23	5.17761478907839e-21
ENSG00000008256	612.85464576988	-2.8490224655141	0.549237344510664	-5.18723370504312	2.13440810906244e-07	1.9391755189918e-06
ENSG00000008282	18045.4699291739	-1.53751311862134	0.303421175750924	-5.06725713792458	4.03588928584944e-07	3.50786890925745e-06
