baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000419	3699.17587665749	-2.03900409302637	0.481345177737017	-4.23605384936542	2.27482244476273e-05	8.5127358770597e-05
ENSG00000000971	601.531064207958	-8.85308306233814	1.84906476209258	-4.78787073543013	1.68560157558716e-06	7.86076547939833e-06
ENSG00000001036	1597.32531925015	-1.56311390078236	0.496244576546393	-3.14988611394169	0.00163334119398405	0.00410415357020794
ENSG00000002549	5735.82695477036	-1.08991408121916	0.360818298861907	-3.02067296657893	0.00252213608384069	0.00605561110438585
ENSG00000002586	30738.2392044664	-2.27128979413174	0.490731659333951	-4.62837428751686	3.6854747687921e-06	1.62325428695085e-05
ENSG00000003096	311.202832927963	-7.39698904929255	1.09454844509397	-6.75802800912799	1.39882493548733e-11	1.39579316560909e-10
ENSG00000003147	968.868780212807	-7.45023991901538	0.747554464213194	-9.96614999397643	2.14378336828807e-23	7.67409623023897e-22
ENSG00000003400	3287.19091240044	-2.15930134464247	0.695129648462307	-3.10632894082284	0.00189425869709163	0.00468938665356187
ENSG00000003436	6003.06855504954	-13.8997650320481	1.0168341463527	-13.6696481740954	1.54138628348445e-42	2.06023679536059e-40
ENSG00000003987	17.3815029470716	-10.0769743543826	2.21468996484095	-4.5500609630957	5.36303754112913e-06	2.28383823758156e-05
ENSG00000004776	6.69366253612671	-6.28681295365682	1.377858244	-4.56274292441424	5.04896219806928e-06	2.16287152935643e-05
ENSG00000004809	269.140057405693	-11.0996021408734	2.21782457642313	-5.00472501696896	5.59418306887974e-07	2.8319483867933e-06
ENSG00000004846	16.443762840169	-8.98452215719631	2.6247738194193	-3.42297004439949	0.000619409029309087	0.00170987429243318
ENSG00000004866	2004.58915162417	-1.74751304150804	0.5734100250301	-3.0475802047868	0.00230691953835229	0.00559153033469595
ENSG00000005022	54567.3114939478	-3.6638151102514	0.477150355274409	-7.67853375723538	1.6091975619732e-14	2.30318138101415e-13
ENSG00000005108	107.513977230247	-11.3707725025295	2.6760171507064	-4.24914036874836	2.14592424503146e-05	8.08146976531504e-05
ENSG00000005189	936.205906297493	-6.25011109796816	0.613668867176259	-10.1848267563702	2.31772350129717e-24	9.08131189373505e-23
ENSG00000005194	5073.43250036743	-2.44508547666044	0.327780396836739	-7.45952320595392	8.68361350087062e-14	1.14679051923051e-12
ENSG00000005249	517.6457001453	-3.12661633995485	0.831391282813806	-3.76070378002156	0.000169435979837506	0.000529755127301796
ENSG00000005381	15469.1590534346	-7.5885119371565	1.7453107525693	-4.34794315338134	1.37420209027376e-05	5.38822461419381e-05
ENSG00000005448	2791.15647764361	-2.55942474087984	0.521852088701613	-4.90450224554583	9.36645501690093e-07	4.56452882828921e-06
ENSG00000005801	4504.94824382301	-1.52030143408634	0.360941572289005	-4.21204303080122	2.53071318165153e-05	9.36459930178441e-05
ENSG00000005893	10831.0849904221	-3.05505700010574	0.347448958620019	-8.79282243999139	1.45848873244339e-18	3.33881108446364e-17
ENSG00000006007	4745.711330699	-2.12066562116139	0.384341620838614	-5.51765800574553	3.43547160136728e-08	2.10575097341203e-07
ENSG00000006016	39.4954583602871	-7.1395133555542	1.25947028322205	-5.66866360458264	1.43915608693768e-08	9.40929900785214e-08
ENSG00000006042	41.2828104630505	-10.5613824500893	1.66681949059002	-6.33624847184311	2.35427015775322e-10	1.99895868824805e-09
ENSG00000006047	35.9041117357833	-4.77155670175754	1.36704100761184	-3.49042689662488	0.000482249529735612	0.00136816222284116
ENSG00000006468	38.6949859802987	-6.04693361375935	1.96891735781616	-3.07119726978604	0.00213202240018986	0.00520951485489412
ENSG00000006530	2775.28929558795	-1.95584839760257	0.526140231766647	-3.71735191402361	0.000201321921324946	0.000619630366581179
ENSG00000006625	3209.66067196935	-3.7929906540021	0.530575898807108	-7.14881822285909	8.75281433539524e-13	1.02089475576946e-11
ENSG00000006757	817.212024250168	-2.02629866477749	0.711148679471084	-2.84933196569323	0.00438111414381531	0.00993468132707551
ENSG00000007038	364.383689147905	-8.3626595158088	1.60147396037215	-5.22185169583742	1.77142813633756e-07	9.81928091359822e-07
ENSG00000007062	2855.25392812124	-10.76859947193	0.942631142752458	-11.4239801588625	3.17359350936236e-30	1.99239162212772e-28
ENSG00000007174	23.1916615018157	-24.8358656981441	6.17483162686518	-4.02211221275886	5.76785659827689e-05	0.000198374051172113
ENSG00000007237	1175.8300059357	-4.53218322474582	1.28655293609768	-3.52273357557495	0.000427120490114324	0.00122879621648235
ENSG00000007255	2979.52173937668	-2.47794662726948	0.498757369440201	-4.96824062980904	6.75630914166703e-07	3.37897005775466e-06
ENSG00000007350	100.796303560289	-3.8524802093151	1.22902267590437	-3.13458838868067	0.00172095399514841	0.0043021254171327
ENSG00000007372	44.4747635261121	-6.32963664713907	1.45610106295405	-4.3469761874206	1.38027197753502e-05	5.41074450228606e-05
ENSG00000007908	5.05376534015506	-9.66227955621496	3.14623303170701	-3.0710629056528	0.00213298207784439	0.0052110915327525
ENSG00000008018	20182.8313582295	-2.39579255029593	0.37325723428323	-6.41860982251715	1.37524379945106e-10	1.2074099745322e-09
ENSG00000008056	11.4834290906212	-5.62113824572171	1.62010604806305	-3.46961129639764	0.000521212073200232	0.00146665006811896
ENSG00000008226	138.653928443683	-2.38618815783284	0.697942284213629	-3.41889037504205	0.000628770529401704	0.00173311870186327
ENSG00000008256	612.85464576988	-4.01837725318163	0.764029299398466	-5.25945439048656	1.44483459317318e-07	8.12027417675561e-07
ENSG00000008277	167.161089789556	-2.88732938547047	0.933007856199241	-3.09464638082736	0.00197047673627055	0.00485388809664008
ENSG00000008282	18045.4699291739	-2.87082415304053	0.4227244143298	-6.79124284220022	1.11171607855572e-11	1.125570084666e-10
ENSG00000008311	688.90139973318	-5.60743117160005	1.21691986443623	-4.60788860094567	4.06778485386217e-06	1.77981695269038e-05
ENSG00000008324	2523.32751446842	-1.55673682144137	0.461161354604593	-3.37568793633226	0.000736313840329826	0.00199765355862277
ENSG00000008394	616.423484165827	-8.24443174410164	1.24875849382783	-6.60210263621904	4.05366694554851e-11	3.80008348164711e-10
ENSG00000008513	13646.4899974015	-1.32748121662957	0.459162772465738	-2.89109068991132	0.00383907317423509	0.00883733316524616
ENSG00000009724	267.270044950721	-5.38579445547405	0.890094051040588	-6.05081502249975	1.44114850834489e-09	1.09667563715832e-08
ENSG00000009780	3267.51482869843	-1.26496124388239	0.387373347000652	-3.26548342490962	0.00109277400782328	0.00285672498512035
ENSG00000010244	44069.0636440197	-1.0335532247017	0.291579319642318	-3.54467259876167	0.000393101038717765	0.00114062615821223
ENSG00000010256	10663.555163114	-2.71300130360581	0.401914724002109	-6.75019137540124	1.47650272302947e-11	1.46799976793584e-10
ENSG00000010270	3334.9322595561	-2.77982162209616	0.352709628742614	-7.88133182529222	3.23909855157034e-15	5.04082811208702e-14
ENSG00000010319	20.1435798831351	-4.0061645820846	1.00819245557426	-3.97361095089995	7.0791159097457e-05	0.000239008488670045
ENSG00000010438	15.4902262760278	-8.27712855154535	2.1705267111301	-3.81341934614377	0.000137057266706138	0.000435587178981311
ENSG00000011052	15248.6894638756	-2.3517940352675	0.466125782491033	-5.04540646239138	4.52558252946524e-07	2.32724185055405e-06
ENSG00000011426	1865.68665131472	-5.10772367430284	1.19275175028425	-4.28230239283707	1.84969375630375e-05	7.05565576915498e-05
ENSG00000011465	26.1482590194273	-7.69255867496159	2.11627011194225	-3.63496069407774	0.000278023020853505	0.000832662368562702
ENSG00000011566	1875.21014184958	-2.0533358224087	0.712592304783777	-2.88150153829089	0.00395785302701912	0.00907546431513764
ENSG00000011638	1795.70772796448	-1.78821891755461	0.400196293499426	-4.46835452152227	7.88235916226873e-06	3.25466419420633e-05
ENSG00000012061	7587.66947140439	-1.25196660664932	0.263774162623857	-4.74635799881061	2.071120064585e-06	9.51142808269098e-06
ENSG00000013275	6960.75797083681	-1.40182770750739	0.290852419230359	-4.81972166921232	1.43758641404823e-06	6.77275646004417e-06
ENSG00000013297	78.6781866198056	-3.75644812365162	0.911101362372575	-4.12297498257445	3.7401033264388e-05	0.000133797695947327
ENSG00000013374	9331.34766451724	-1.42047965814522	0.378680699749467	-3.75112768906628	0.000176041013072037	0.000548504963027932
ENSG00000013441	55959.0133167186	-1.38442701450445	0.470954676044567	-2.93961836440805	0.0032861672836028	0.007678688362954
ENSG00000013588	25.9413550986234	-7.02980338832029	2.00325559567458	-3.5091894431739	0.000449474629734457	0.00128574258081099
ENSG00000014641	12824.2702896948	-1.64173502621568	0.301223046160028	-5.45023047586968	5.03045856796714e-08	3.02411390299193e-07
ENSG00000015475	2165.09581360274	-2.9960806607263	0.576178213323885	-5.19992007931429	1.99374235671381e-07	1.09381945780122e-06
ENSG00000016602	17.1029022326034	-26.6768024607159	2.83466636864032	-9.41091436926729	4.91839381018989e-21	1.45048859448554e-19
ENSG00000017260	8434.8418709306	-1.32149935026136	0.285731059728956	-4.62497619794968	3.74641420391021e-06	1.64834268690225e-05
ENSG00000019991	485.194692407612	-7.24516672587144	1.33446245269822	-5.42927731778595	5.658270400525e-08	3.38556583459572e-07
ENSG00000020181	156.346791456955	-6.48018323027412	1.27538153528676	-5.08097620279337	3.75500161918966e-07	1.96388125075574e-06
ENSG00000020577	1242.51558158701	-3.99394843550032	0.881942831627487	-4.52857973586578	5.93814729656763e-06	2.5100447154632e-05
ENSG00000021355	24844.7483437475	-3.96376586859138	0.231974199543066	-17.087097946233	1.85162147518035e-65	5.90168737108443e-63
ENSG00000022267	2001.78933550805	-5.88802751935297	1.0218592235384	-5.7620730759414	8.30870073597837e-09	5.62764225574603e-08
ENSG00000022277	9379.77479490972	-1.69563211982901	0.215889944146165	-7.8541505327409	4.02490648807826e-15	6.18246525796192e-14
ENSG00000023608	935.677934402287	-2.0100830943617	0.656646924592135	-3.06113227532472	0.00220501657863739	0.00536808824534902
ENSG00000023697	4037.56993461852	-1.90468303553271	0.493071410018092	-3.86289490088834	0.000112051223613602	0.000361451339075875
ENSG00000023734	14463.4951269966	-2.28244245244511	0.515752470009739	-4.42546102086921	9.62365335998138e-06	3.88745870797786e-05
ENSG00000024526	1141.43088299533	-5.40055622296501	1.8508570387682	-2.91786783627504	0.00352433693745092	0.00818214881654455
ENSG00000024862	2928.30226163809	-1.6173832345737	0.459807939198182	-3.51751915678991	0.000435600907311932	0.00125015574680311
ENSG00000025039	632.689094332953	-4.50992510721125	0.94203682379357	-4.78741912556013	1.68939781447431e-06	7.87403807004982e-06
ENSG00000025156	3808.60155132454	-2.19478171117223	0.448503174276389	-4.89357007274982	9.90230340366138e-07	4.79745035405682e-06
ENSG00000025293	12913.8475701242	-2.09654278836923	0.338399551531142	-6.19546562305739	5.81129756831701e-10	4.64847711859489e-09
ENSG00000025423	76.0427169902937	-3.55802044879713	0.629685180174043	-5.65047512760854	1.60004958390625e-08	1.0346945690075e-07
ENSG00000025434	414.258000484884	-2.17287784227126	0.633138652962298	-3.43191468741468	0.000599336062500523	0.00166175879269067
ENSG00000025772	3374.50991685379	-2.2173754939987	0.494810298271299	-4.48126383332251	7.42023130179768e-06	3.07380438880267e-05
ENSG00000025796	8512.3774140252	-1.25367333420798	0.364410696299361	-3.44027589458598	0.00058112147478569	0.00161592088769258
ENSG00000026508	43181.3375070806	-1.5485990610837	0.431784210638777	-3.58651155583648	0.000335131219704066	0.000987987341760082
ENSG00000029153	445.876548383336	-5.71883782412567	0.919754110831097	-6.21778990360596	5.04206034090241e-10	4.0744567571973e-09
ENSG00000029639	1574.85034040185	-1.95239839596275	0.641421964446348	-3.0438595872656	0.00233564125494678	0.00565535692614872
ENSG00000029993	2106.43806256267	-2.55293113215001	0.692272720404553	-3.68775347764407	0.000226242678428627	0.000689038249223826
ENSG00000032742	1976.13992243682	-1.5025633849368	0.447239023022452	-3.35964284776057	0.000780432929470153	0.00210631743576589
ENSG00000033122	128.346987240082	-10.1605499841204	1.64453868120949	-6.17835877028309	6.47713926082888e-10	5.15372568934123e-09
ENSG00000035141	4964.25474550769	-2.34186460727453	0.302090850746069	-7.7521864746677	9.0323618581726e-15	1.33068769277647e-13
ENSG00000035499	845.274091267088	-5.67980599300407	0.69355764007996	-8.18937845216332	2.62578656267805e-16	4.73555892163503e-15
ENSG00000037897	768.579063099589	-2.56861128381084	0.629925758513543	-4.07764129200254	4.54948833573611e-05	0.000159888082435306
ENSG00000038002	2039.35434990484	-1.47354637762698	0.454664011910385	-3.24095670434856	0.0011912927573001	0.00308700534075858
ENSG00000039139	22.8755886290351	-8.81703163172932	1.57563430726935	-5.59586167364535	2.19528685189748e-08	1.39032037765949e-07
ENSG00000039560	21.8738622823389	-4.74657754938103	1.58543303796265	-2.99386819608641	0.00275464914771009	0.00655217493888448
ENSG00000041357	13730.3201504365	-2.11049841118132	0.30991972706535	-6.80982276012492	9.77190610893147e-12	9.99750443515001e-11
ENSG00000042062	113.481319753003	-6.65894680056393	1.97268307440333	-3.37557861522081	0.000736606439441664	0.00199812031543472
ENSG00000042317	339.086539368318	-2.81286350441478	0.639003977360188	-4.40194991592243	1.0728232518524e-05	4.28663755453269e-05
ENSG00000042781	21.8346416335173	-8.65654302124708	2.68832803631335	-3.22004714615046	0.00128169516087665	0.00329959857042087
ENSG00000043093	6257.20112146831	-1.86967997547477	0.453664325916035	-4.12128498686673	3.76765006646051e-05	0.000134695927958405
ENSG00000044524	8.79877414785389	-7.13968302117757	2.12898686347234	-3.35355898323058	0.000797794080568144	0.00214513937237774
ENSG00000044574	44141.7743789659	-2.28811055208022	0.60129174310959	-3.80532508270813	0.000141618066808293	0.000449306630796448
ENSG00000046604	1041.38197648198	-12.0250263169471	1.54115811499724	-7.8025909216775	6.06489028264247e-15	9.1298357442794e-14
ENSG00000046647	2346.67058517153	-2.21723402295588	0.418190773479025	-5.30196781844373	1.14561039770341e-07	6.52934894481994e-07
ENSG00000046653	422.699338062868	-6.74203329740458	1.26200966902651	-5.34229924134041	9.17749879339412e-08	5.31659786793828e-07
ENSG00000046889	129.321170526266	-11.0452259340248	2.00334950309283	-5.51337942629221	3.52008219931413e-08	2.15204140064302e-07
ENSG00000047457	357.197796437885	-9.33781126077924	1.73137170349818	-5.39330245603097	6.91743682726678e-08	4.08587305684674e-07
ENSG00000047634	812.899184024399	-4.99350414536275	1.52107481785447	-3.28287871625294	0.00102752863090942	0.00269935957024769
ENSG00000047662	141.782833501944	-7.82568908206918	0.938188499542636	-8.34127585861923	7.34932243305251e-17	1.40493275669449e-15
ENSG00000048162	1659.94741792317	-2.13548311034244	0.283667247633678	-7.52812715657665	5.14732540485673e-14	6.9927681360734e-13
ENSG00000048342	10.4610453669661	-5.6000668807919	1.86370134902423	-3.00480915771398	0.00265747533569773	0.00634288539946056
ENSG00000049449	609.706192689731	-1.9097484142809	0.528573701603036	-3.61302200334428	0.000302649010265859	0.000900395745134868
ENSG00000049540	31.9679485412401	-8.40795417443282	1.68131010383695	-5.00083485803413	5.70825918509276e-07	2.88617107180376e-06
ENSG00000049541	2993.85828499579	-2.45925710342848	0.332995085463182	-7.38526546122372	1.52149516767773e-13	1.95634297200083e-12
ENSG00000050405	1061.14684444454	-5.52321211383652	0.97914540846151	-5.64084973090453	1.69212993092069e-08	1.08998684318226e-07
ENSG00000050426	7113.5016199414	-1.44921079607787	0.290033293877219	-4.99670495309193	5.83181901006713e-07	2.94236128684483e-06
ENSG00000052126	891.622846973995	-7.70116793587751	1.23776880706871	-6.22181451972075	4.91437808955325e-10	3.9790377360164e-09
ENSG00000052795	530.419699448542	-5.69560772996341	1.55611853120413	-3.66013746109439	0.000252079980911191	0.000761153872039001
ENSG00000052802	4099.42285746863	-1.93486178014442	0.632450489104972	-3.05930948505169	0.002218478399717	0.00539768951804309
ENSG00000053328	6.5419805082403	-7.11960731789692	2.12385185147031	-3.35221466269792	0.000801678324601861	0.00215453487140445
ENSG00000053438	45.3764577276132	-5.93336986377113	1.71570076004265	-3.45827780808562	0.00054364049020986	0.00152406926331837
ENSG00000053524	633.926937160863	-3.37878926210181	0.861205706292965	-3.92332428525782	8.73354692167216e-05	0.000288921769819949
ENSG00000053702	61.7495704140516	-8.00487287222921	1.49328988494615	-5.36056190624897	8.29634899099957e-08	4.83317005893943e-07
ENSG00000053747	48.1142843417354	-8.59340466137991	1.49529145871758	-5.74697635787336	9.08534269593816e-09	6.11370157703935e-08
ENSG00000054148	3119.49237580276	-2.29861635857857	0.498528957163847	-4.61079808012657	4.01126017027649e-06	1.75786954156961e-05
ENSG00000054282	3903.57706094044	-2.57519273282963	0.372761227677682	-6.90842432533336	4.90066288683455e-12	5.19346859092865e-11
ENSG00000054690	88.9200147852313	-6.70884861902084	0.853767696794878	-7.85793213330332	3.90526784920558e-15	6.00983373562984e-14
ENSG00000055044	23072.974822307	-1.55843752912003	0.446101343390731	-3.49346073982796	0.000476803087449188	0.00135456537048043
ENSG00000056050	771.441326178364	-2.40960860149741	0.726155692449894	-3.31830849300087	0.000905644010210676	0.00240662879994096
ENSG00000056097	18744.1333158318	-1.02391073215237	0.329919774040737	-3.10351428655482	0.00191237001607928	0.00472716191595793
ENSG00000056998	38.451792941422	-10.1230050415672	2.32249731468399	-4.35867244175675	1.3085379439721e-05	5.15269847550333e-05
ENSG00000057019	469.029243675202	-8.59123707530121	1.02592434478813	-8.37414290726811	5.56272238671345e-17	1.07832234897531e-15
ENSG00000057294	37.7581136514302	-6.98773141087187	1.25643354085548	-5.56156070627822	2.67372638283894e-08	1.67097817002914e-07
ENSG00000057608	40549.7372263833	-1.96001148674798	0.378249877638596	-5.18179014090971	2.1976640043126e-07	1.1977666296441e-06
ENSG00000059377	1709.90043406588	-3.82744792638459	1.0370740879325	-3.69062150035486	0.00022370680297225	0.000682413491302328
ENSG00000059573	7229.01862218893	-1.58529028996224	0.40131899253228	-3.95020001410656	7.80859118178894e-05	0.000261189889499435
ENSG00000059804	19856.6106208442	-2.65009572388217	0.833858033465779	-3.1781138005801	0.00148236555604086	0.00376589925288493
ENSG00000060558	1036.04083234768	-7.66914848845384	1.17548420196418	-6.52424632814209	6.83443107277841e-11	6.20678688220435e-10
ENSG00000060656	43.6351715037735	-3.47020769892314	1.00446850312202	-3.45477004817699	0.000550762346007137	0.00154246960505615
ENSG00000060982	5700.18424332283	-2.8528314689221	0.958405830182755	-2.97664244005913	0.00291423671628511	0.00689810901681083
ENSG00000061455	15.2756635181671	-5.33434016352143	1.34607049013136	-3.96289808195771	7.40453973155521e-05	0.000248880230198329
ENSG00000061492	138.804208796613	-10.4005926236091	1.26588411086448	-8.21607012391247	2.10280527162764e-16	3.8467874803484e-15
ENSG00000061676	100.16196036605	-4.57155217479755	1.30610191075369	-3.50014967221012	0.000464996993788401	0.00132579738087888
ENSG00000061918	496.915615348278	-9.36127918200692	1.17096059919091	-7.99452960968559	1.30069497901052e-15	2.14718312570919e-14
ENSG00000062716	12099.1848316262	-1.9733224975444	0.592127241465681	-3.33259873783187	0.000860389345083478	0.00229742113829766
ENSG00000064102	2382.08476678817	-1.56603440447014	0.475768068388036	-3.29159207715656	0.000996219986034824	0.00262334764037833
ENSG00000064205	19.1903497953744	-21.8625986548918	3.86583505396506	-5.65533664776206	1.55541100133508e-08	1.01016386897052e-07
ENSG00000064225	372.381538091743	-7.69491859846628	1.47816523016407	-5.2057229066416	1.93242822198194e-07	1.06433648977136e-06
ENSG00000064490	3991.97295561258	-1.07060513998409	0.362938266594082	-2.94982711531347	0.00317951791596733	0.00745470787087883
ENSG00000064763	1302.72859722235	-8.03992563451521	1.26320496534901	-6.36470395150312	1.95666766965649e-10	1.67856159197136e-09
ENSG00000064989	398.133065755943	-10.2725455880443	1.03402727281214	-9.9345015921167	2.94645726708435e-23	1.03872770738052e-21
ENSG00000065135	13637.5340200192	-1.91374538418274	0.335706899961339	-5.70064358046599	1.19355954082736e-08	7.92232912682124e-08
ENSG00000065154	2277.33213696792	-2.68843411810374	0.491585889192794	-5.46890009906157	4.52836879969117e-08	2.73716938315396e-07
ENSG00000065328	815.608820647498	-4.63226238926668	0.914868111370088	-5.06331167487027	4.12035397416084e-07	2.13275286595071e-06
ENSG00000065427	17279.9685560977	-1.87449632091122	0.302400076093575	-6.1987296601446	5.6920703117254e-10	4.55750595876989e-09
ENSG00000065485	1786.25008495944	-1.59891511703429	0.488456818794942	-3.27340115955168	0.00106261547428477	0.00278359236143445
ENSG00000065491	2438.74761763252	-1.65435376520447	0.565624745869468	-2.92482565037255	0.00344649260575313	0.00801602139317323
ENSG00000065518	6730.74343099254	-1.85463272284856	0.449122381671981	-4.1294595828072	3.6361691448547e-05	0.000130502094861026
ENSG00000065621	234.8208588198	-3.74629023007184	0.695208325468741	-5.38873038890309	7.09571591453395e-08	4.18074637637702e-07
ENSG00000065675	556.540296232012	-4.68087600563468	1.62002193642443	-2.88939050786306	0.00385989402207674	0.00887909556167939
ENSG00000065911	5094.03009772058	-1.75047800108975	0.420820240537808	-4.15968110006457	3.18692245405787e-05	0.000115986062260771
ENSG00000066056	67.2124706991451	-7.59135708362577	1.04229339840231	-7.28332069958634	3.25701716850442e-13	4.0375319783689e-12
ENSG00000066230	3.71591287130679	-8.22488829445582	2.48216767333237	-3.31359093216039	0.000921061519678664	0.00244368074710328
ENSG00000066279	5524.07458874454	-3.6541455260875	0.837782311654869	-4.36168856187651	1.29062497073953e-05	5.08941667024434e-05
ENSG00000066379	2327.33494577367	-1.77115459746829	0.413629252304236	-4.28198583055136	1.8523277990362e-05	7.06407752904416e-05
ENSG00000066382	38.15194633791	-8.79896555626881	1.61247259606283	-5.45681556248038	4.84749406751313e-08	2.9194173937123e-07
ENSG00000066427	6577.58012416085	-1.05941315639194	0.315779845048644	-3.35491062207832	0.000793906305747302	0.0021378071667678
ENSG00000066557	3617.84514888347	-1.60161798054938	0.553822495008294	-2.89193377839481	0.00382878639727335	0.00881610249352715
